#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 6.6472 A/T
#	End Field: 0.7 T
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 1
#	Amperage of heater: 0.75 A
#	Resistance Range: 10000 Ohm
#	Set temperature: 11.8 K
#	Start Field: 0.2 T
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Resistance (ohm),Magnetic Field (T)
nan,343.68,0.20012
nan,343.7,0.20118
nan,343.72,0.20267
nan,343.73,0.20417
nan,343.74,0.20569
nan,343.75,0.20718
nan,343.75,0.20869
nan,343.76,0.21095
nan,343.75,0.21316
nan,343.75,0.21466
nan,343.75,0.21616
nan,343.75,0.21767
nan,343.76,0.21918
nan,343.75,0.22069
nan,343.75,0.22218
nan,343.75,0.22371
nan,343.74,0.22598
nan,343.75,0.22746
nan,343.75,0.22898
nan,343.73,0.23047
nan,343.74,0.23195
nan,343.7,0.23346
nan,343.73,0.23497
nan,343.73,0.23647
nan,343.73,0.23874
nan,343.72,0.2402
nan,343.72,0.24172
nan,343.73,0.24399
nan,343.73,0.24549
nan,343.69,0.24698
nan,343.68,0.24847
nan,343.69,0.24997
nan,343.7,0.25224
nan,343.69,0.25371
nan,343.69,0.25525
nan,343.7,0.2575
nan,343.68,0.25901
nan,343.69,0.26051
nan,343.69,0.26202
nan,343.69,0.26352
nan,343.69,0.265
nan,343.69,0.2665
nan,343.7,0.26801
nan,343.69,0.26951
nan,343.68,0.27103
nan,343.69,0.27252
nan,343.69,0.274
nan,343.68,0.27549
nan,343.68,0.27778
nan,343.68,0.27927
nan,343.68,0.28076
nan,343.67,0.28227
nan,343.66,0.28375
nan,343.68,0.286
nan,343.53,0.28752
nan,343.53,0.28902
nan,343.52,0.29055
nan,343.53,0.29279
nan,343.53,0.2943
nan,343.52,0.29582
nan,343.52,0.29805
nan,343.53,0.29957
nan,343.53,0.30107
nan,343.52,0.30254
nan,343.53,0.30407
nan,343.53,0.30633
nan,343.52,0.30784
nan,343.53,0.31009
nan,343.53,0.31155
nan,343.52,0.3131
nan,343.53,0.3146
nan,343.53,0.31608
nan,343.52,0.31761
nan,343.52,0.31909
nan,343.53,0.32056
nan,343.53,0.32286
nan,343.53,0.32437
nan,343.52,0.32589
nan,343.53,0.32738
nan,343.52,0.329
nan,343.53,0.33115
nan,343.52,0.33265
nan,343.52,0.33413
nan,343.52,0.33565
nan,343.52,0.33714
nan,343.52,0.33862
nan,343.53,0.34014
nan,343.53,0.34165
nan,343.53,0.34315
nan,343.52,0.34541
nan,343.53,0.34688
nan,343.52,0.34841
nan,343.52,0.34993
nan,343.52,0.3514
nan,343.53,0.35291
nan,343.52,0.35513
nan,343.53,0.35661
nan,343.53,0.35811
nan,343.51,0.36051
nan,343.52,0.36204
nan,343.53,0.36429
nan,343.52,0.3658
nan,343.52,0.36731
nan,343.53,0.36881
nan,343.52,0.37031
nan,343.52,0.37179
nan,343.52,0.3733
nan,343.52,0.3748
nan,343.52,0.37707
nan,343.52,0.37856
nan,343.52,0.38007
nan,343.52,0.38156
nan,343.53,0.38306
nan,343.52,0.38458
nan,343.52,0.38609
nan,343.52,0.38833
nan,343.52,0.38983
nan,343.52,0.39129
nan,343.52,0.39282
nan,343.53,0.39434
nan,343.53,0.39583
nan,343.52,0.39735
nan,343.52,0.39959
nan,343.53,0.4011
nan,343.53,0.40261
nan,343.53,0.40412
nan,343.52,0.40637
nan,343.53,0.4086
nan,343.52,0.4101
nan,343.53,0.41237
nan,343.52,0.41384
nan,343.52,0.41537
nan,343.52,0.41686
nan,343.53,0.41833
nan,343.52,0.41988
nan,343.53,0.42138
nan,343.53,0.42286
nan,343.53,0.42438
nan,343.52,0.42586
nan,343.53,0.42809
nan,343.53,0.43039
nan,343.53,0.43189
nan,343.53,0.4334
nan,343.53,0.4349
nan,343.53,0.43715
nan,343.54,0.43866
nan,343.53,0.44016
nan,343.53,0.44167
nan,343.53,0.44317
nan,343.53,0.44465
nan,343.53,0.44616
nan,343.53,0.44768
nan,343.53,0.44993
nan,343.53,0.45143
nan,343.53,0.45293
nan,343.53,0.45443
nan,343.53,0.45594
nan,343.53,0.45744
nan,343.53,0.45894
nan,343.53,0.46043
nan,343.53,0.46192
nan,343.53,0.46344
nan,343.52,0.46571
nan,343.53,0.46719
nan,343.52,0.46873
nan,343.52,0.47022
nan,343.53,0.47248
nan,343.53,0.47474
nan,343.53,0.47621
nan,343.53,0.47848
nan,343.53,0.47997
nan,343.53,0.48147
nan,343.53,0.48297
nan,343.52,0.48447
nan,343.53,0.48598
nan,343.53,0.48748
nan,343.53,0.48897
nan,343.53,0.4905
nan,343.53,0.492
nan,343.53,0.49348
nan,343.52,0.49499
nan,343.53,0.49648
nan,343.53,0.49794
nan,343.53,0.49946
nan,343.53,0.50098
nan,343.52,0.50246
nan,343.52,0.50399
nan,343.53,0.50549
nan,343.53,0.50696
nan,343.54,0.5085
nan,343.53,0.51002
nan,343.53,0.5115
nan,343.53,0.51303
nan,343.53,0.51451
nan,343.53,0.51597
nan,343.53,0.51825
nan,343.53,0.52048
nan,343.53,0.52202
nan,343.53,0.52352
nan,343.53,0.52499
nan,343.53,0.52654
nan,343.53,0.52803
nan,343.53,0.52951
nan,343.53,0.53176
nan,343.53,0.53325
nan,343.53,0.53477
nan,343.53,0.53629
nan,343.53,0.53778
nan,343.53,0.54004
nan,343.54,0.54154
nan,343.53,0.54303
nan,343.53,0.54456
nan,343.53,0.54606
nan,343.54,0.54756
nan,343.53,0.54907
nan,343.53,0.55056
nan,343.52,0.55203
nan,343.53,0.55354
nan,343.53,0.55504
nan,343.53,0.55655
nan,343.53,0.55805
nan,343.53,0.55955
nan,343.53,0.56106
nan,343.53,0.56256
nan,343.53,0.56406
nan,343.54,0.56555
nan,343.54,0.56703
nan,343.53,0.56926
nan,343.53,0.5708
nan,343.53,0.57232
nan,343.54,0.57457
nan,343.53,0.57606
nan,343.53,0.57756
nan,343.54,0.57909
nan,343.55,0.58059
nan,343.54,0.5821
nan,343.55,0.58436
nan,343.54,0.58672
nan,343.54,0.58821
nan,343.54,0.58972
nan,343.54,0.59122
nan,343.54,0.59275
nan,343.54,0.59425
nan,343.54,0.59649
nan,343.54,0.598
nan,343.54,0.59951
nan,343.54,0.60101
nan,343.53,0.6025
nan,343.55,0.60473
nan,343.54,0.60627
nan,343.54,0.60779
nan,343.54,0.60928
nan,343.56,0.61153
nan,343.54,0.61304
nan,343.55,0.61456
nan,343.55,0.61606
nan,343.55,0.61757
nan,343.55,0.61907
nan,343.54,0.62055
nan,343.55,0.62353
nan,343.54,0.62504
nan,343.54,0.62729
nan,343.55,0.62882
nan,343.55,0.63031
nan,343.54,0.63179
nan,343.53,0.63333
nan,343.54,0.63482
nan,343.54,0.63631
nan,343.54,0.63856
nan,343.54,0.64077
nan,343.53,0.6423
nan,343.55,0.64382
nan,343.54,0.64532
nan,343.54,0.64682
nan,343.55,0.64832
nan,343.54,0.64983
nan,343.55,0.65211
nan,343.54,0.6536
nan,343.54,0.6551
nan,343.54,0.65658
nan,343.54,0.65883
nan,343.54,0.66034
nan,343.55,0.66186
nan,343.55,0.66336
nan,343.55,0.66485
nan,343.55,0.66707
nan,343.54,0.66862
nan,343.56,0.67099
nan,343.55,0.6725
nan,343.54,0.67398
nan,343.55,0.67547
nan,343.56,0.67699
nan,343.55,0.67926
nan,343.56,0.68074
nan,343.55,0.68226
nan,343.55,0.68376
nan,343.56,0.68603
nan,343.55,0.68754
nan,343.55,0.68904
nan,343.55,0.69054
