#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 6.6472 A/T
#	End Field: 1 T
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 1
#	Amperage of heater: 0.75 A
#	Resistance Range: 200000 Ohm
#	Set temperature: 11.5 K
#	Start Field: 0 T
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Resistance (ohm),Magnetic Field (T)
nan,124395.9,7e-05
nan,124326.8,0.00091
nan,124315.7,0.0024
nan,124333.9,0.00406
nan,124335.6,0.00631
nan,124343.6,0.00785
nan,124269.4,0.00931
nan,124370.6,0.01087
nan,124350.9,0.01238
nan,124332.8,0.01385
nan,124284.7,0.01538
nan,124283.8,0.01687
nan,124359.3,0.01911
nan,124486.8,0.02063
nan,124407.9,0.02214
nan,124347.6,0.02441
nan,124348.6,0.0259
nan,124320.7,0.02738
nan,124323.4,0.02891
nan,124401.2,0.0304
nan,124339.8,0.03189
nan,124336.3,0.0334
nan,124359.7,0.03489
nan,124316.1,0.03639
nan,124420.4,0.03791
nan,124282.1,0.03942
nan,124390.9,0.04092
nan,124361.5,0.04243
nan,124374.8,0.04393
nan,124319.8,0.04544
nan,124340.2,0.04696
nan,124270.5,0.04848
nan,124277.7,0.05072
nan,124449.7,0.0522
nan,124403.8,0.05367
nan,124331.7,0.0552
nan,124183.0,0.05671
nan,124345.1,0.05819
nan,124400.4,0.05972
nan,124302.3,0.06197
nan,124334.3,0.06347
nan,124380.1,0.06497
nan,124346.1,0.06648
nan,124327.2,0.06797
nan,124379.5,0.06946
nan,124280.2,0.07095
nan,124270.9,0.07243
nan,124326.9,0.07395
nan,124323.5,0.07546
nan,124296.0,0.07698
nan,124370.3,0.07847
nan,124421.9,0.08072
nan,124363.8,0.08225
nan,124328.0,0.08388
nan,124358.8,0.08537
nan,124301.5,0.08687
nan,124378.0,0.08836
nan,124379.2,0.09137
nan,124375.9,0.09288
nan,124369.6,0.09438
nan,124307.3,0.09587
nan,124405.6,0.09737
nan,124348.4,0.09888
nan,124420.3,0.10039
nan,124388.5,0.1019
nan,124430.6,0.1034
nan,124395.2,0.10564
nan,124394.6,0.10709
nan,124386.9,0.10865
nan,124369.9,0.11016
nan,124330.2,0.11165
nan,124347.5,0.11318
nan,124300.5,0.11468
nan,124308.0,0.11615
nan,124376.7,0.11769
nan,124349.9,0.11993
nan,124392.0,0.12144
nan,124291.9,0.12292
nan,124340.5,0.12442
nan,124306.0,0.12668
nan,124298.5,0.12819
nan,124368.6,0.12967
nan,124402.5,0.13119
nan,124332.1,0.1334
nan,124294.2,0.13493
nan,124365.5,0.13644
nan,124348.5,0.13868
nan,124398.5,0.14018
nan,124306.4,0.14239
nan,124382.0,0.14392
nan,124357.2,0.14544
nan,124248.7,0.14694
nan,124275.7,0.14846
nan,124272.2,0.14996
nan,124350.2,0.15144
nan,124394.6,0.15299
nan,124338.4,0.1545
nan,124316.0,0.15674
nan,124297.8,0.15823
nan,124300.2,0.16046
nan,124272.6,0.16199
nan,124321.2,0.16351
nan,124388.1,0.16499
nan,124256.3,0.16652
nan,124287.0,0.16801
nan,124335.7,0.16948
nan,124301.4,0.17102
nan,124307.9,0.17327
nan,124283.2,0.17477
nan,124322.6,0.17625
nan,124374.7,0.17773
nan,124313.7,0.17926
nan,124407.1,0.18077
nan,124362.5,0.18228
nan,124327.0,0.1838
nan,124335.1,0.1853
nan,124342.5,0.18754
nan,124340.3,0.18907
nan,124344.5,0.19056
nan,124309.1,0.19207
nan,124315.0,0.19431
nan,124385.3,0.19654
nan,124252.3,0.19805
nan,124255.4,0.19957
nan,124379.9,0.20107
nan,124330.6,0.20256
nan,124328.8,0.20406
nan,124334.0,0.20558
nan,124271.8,0.20707
nan,124314.4,0.20858
nan,124327.2,0.21082
nan,124333.7,0.2123
nan,124416.4,0.21375
nan,124376.4,0.21528
nan,124322.9,0.21757
nan,124434.1,0.21907
nan,124350.2,0.22057
nan,124328.4,0.22279
nan,124281.4,0.22433
nan,124287.8,0.22584
nan,124345.6,0.22732
nan,124364.5,0.22885
nan,124255.4,0.23033
nan,124299.9,0.23181
nan,124239.8,0.23334
nan,124297.0,0.23484
nan,124297.2,0.23633
nan,124320.9,0.23784
nan,124338.1,0.24009
nan,124257.1,0.24161
nan,124241.1,0.24311
nan,124265.2,0.2446
nan,124252.8,0.24685
nan,124301.4,0.24833
nan,124298.5,0.24984
nan,124329.4,0.25135
nan,124265.0,0.25361
nan,124273.8,0.25513
nan,124296.6,0.25663
nan,124322.4,0.25889
nan,124315.9,0.26038
nan,124252.6,0.26189
nan,124268.0,0.26339
nan,124363.9,0.26488
nan,124224.3,0.26638
nan,124325.8,0.26864
nan,124336.4,0.271
nan,124332.2,0.27251
nan,124344.9,0.274
nan,124283.2,0.2755
nan,124378.0,0.27702
nan,124324.7,0.2784
nan,124291.4,0.28063
nan,124282.0,0.283
nan,124321.0,0.28448
nan,124296.1,0.286
nan,124347.2,0.28752
nan,124266.6,0.28903
nan,124310.7,0.29055
nan,124294.4,0.29206
nan,124351.6,0.29353
nan,124287.1,0.29506
nan,124288.4,0.29658
nan,124339.2,0.29806
nan,124267.7,0.29959
nan,124254.1,0.30108
nan,124295.8,0.30254
nan,124302.1,0.30407
nan,124460.4,0.30559
nan,124242.1,0.30706
nan,124270.4,0.30933
nan,124268.3,0.31084
nan,124318.4,0.31311
nan,124292.3,0.31461
nan,124348.4,0.31609
nan,124373.7,0.31761
nan,124340.1,0.31983
