#Procedure: <__main__.IVProcedure>
#Parameters:
#	Maximum temperature: 20 K
#	Minimum temperature: 12 K
#	Temperature ramp rate: 1.5 K/min
#	Resistance Range: 20 Ohm
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Resistance (ohm)
13.3839,1.58707
13.4177,1.58704
13.4514,1.58707
13.4853,1.58706
13.5192,1.58708
13.5531,1.58705
13.5869,1.58703
13.6207,1.5871
13.6542,1.58706
13.687,1.58708
13.7198,1.58708
13.7528,1.5871
13.786,1.58711
13.8194,1.58708
13.8698,1.58709
13.9035,1.58715
13.9382,1.58712
13.9902,1.58711
14.0249,1.58716
14.0596,1.58713
14.0943,1.58716
14.1289,1.58715
14.1634,1.58714
14.198,1.58713
14.2325,1.58715
14.2668,1.58717
14.3011,1.58713
14.3354,1.58714
14.3867,1.58713
14.4208,1.58714
14.4548,1.58713
14.4888,1.58716
14.5227,1.58717
14.5565,1.58718
14.607,1.58717
14.6405,1.58716
14.674,1.58717
14.7074,1.58715
14.7407,1.58717
14.7747,1.58717
14.8258,1.58717
14.8598,1.58715
14.8937,1.58716
14.9275,1.58719
14.9612,1.58713
14.9948,1.58718
15.0451,1.58717
15.0784,1.58715
15.1116,1.5872
15.1447,1.58717
15.1777,1.58717
15.2107,1.58716
15.2599,1.58716
15.2926,1.58718
15.3251,1.58718
15.3738,1.58714
15.4061,1.5872
15.4382,1.58717
15.4703,1.58718
15.5023,1.58721
15.5341,1.58719
15.5818,1.58718
15.6138,1.58722
15.6462,1.58715
15.6785,1.58723
15.7107,1.58722
15.7428,1.58723
15.7747,1.5872
15.8066,1.58722
15.8383,1.58721
15.8858,1.58722
15.9172,1.58722
15.9485,1.58723
15.9798,1.58725
16.0109,1.5872
16.0419,1.58725
16.0881,1.58722
16.1188,1.58728
16.1494,1.58724
16.1799,1.58724
16.2103,1.58727
16.2405,1.58721
16.2857,1.58723
16.3156,1.58723
16.3454,1.58726
16.3752,1.58723
16.4049,1.58727
16.4343,1.58722
16.4792,1.58719
16.5092,1.58717
16.5391,1.58722
16.5689,1.58724
16.5986,1.58727
16.6281,1.58727
16.6724,1.58727
16.7016,1.58728
16.7308,1.58727
16.7598,1.58728
16.8031,1.58727
16.8319,1.58732
16.8605,1.58731
16.889,1.58729
16.9174,1.58727
16.9457,1.5873
16.9739,1.58729
17.002,1.5873
17.03,1.58728
17.0717,1.58728
17.0994,1.58727
17.127,1.58731
17.1545,1.58732
17.1818,1.58731
17.2091,1.5873
17.2362,1.58721
17.2633,1.58728
17.2903,1.58732
17.3314,1.58726
17.3588,1.58731
17.3861,1.5873
17.4134,1.58728
17.4405,1.58732
17.4675,1.58731
17.4944,1.58735
17.5212,1.5873
17.5479,1.5873
17.5744,1.58732
17.6009,1.58733
17.6273,1.58733
17.6536,1.58733
17.6797,1.58734
17.7058,1.58734
17.7317,1.58736
17.7705,1.58736
17.7962,1.58736
17.8217,1.58736
17.8472,1.58732
17.8726,1.58736
17.898,1.58728
17.9232,1.58742
17.9483,1.58736
17.9857,1.58735
18.0106,1.5874
18.0353,1.58743
18.06,1.58739
18.0846,1.58739
18.1091,1.58739
18.1334,1.5874
18.158,1.58738
18.1829,1.58738
18.2201,1.5874
18.2448,1.58738
18.2694,1.58739
18.2938,1.58744
18.3182,1.58706
18.3426,1.58742
18.3668,1.58741
18.391,1.58739
18.4151,1.58741
18.4511,1.58742
18.4749,1.58741
18.4987,1.58743
18.5223,1.58744
18.5458,1.58734
18.5693,1.58743
18.5927,1.5874
18.616,1.58745
18.6391,1.58744
18.6738,1.58742
18.6969,1.58743
18.7198,1.58742
18.7426,1.58741
18.7653,1.58744
18.788,1.58747
18.8106,1.58745
18.8331,1.58744
18.8555,1.58744
18.889,1.58748
18.9112,1.58747
18.9333,1.58746
18.9555,1.58748
18.9782,1.58747
19.0008,1.58744
19.0232,1.58747
19.0457,1.58745
19.068,1.58749
19.1013,1.58747
19.1234,1.58742
19.1455,1.58747
19.1674,1.58748
19.1893,1.58742
19.2111,1.58748
19.2328,1.58751
19.2653,1.58747
19.2869,1.58751
19.3083,1.5875
19.3297,1.58751
19.351,1.58747
19.3723,1.58751
19.3934,1.58746
19.4145,1.5875
19.4356,1.58749
19.4565,1.58751
19.4878,1.58751
19.5086,1.58749
19.5293,1.58752
19.5499,1.58752
19.5705,1.58752
19.591,1.5875
19.6216,1.58756
19.6419,1.58754
19.6622,1.58753
19.6823,1.58754
19.7024,1.58752
19.7324,1.58742
19.7525,1.58749
19.7729,1.58753
19.7934,1.58752
19.8138,1.58751
19.8341,1.58753
19.8543,1.58754
19.8745,1.5875
19.8946,1.58752
19.9146,1.58754
