#Procedure: <__main__.IVProcedure>
#Parameters:
#	Maximum temperature: 20 K
#	Minimum temperature: 12 K
#	Temperature ramp rate: 1 K/min
#	Resistance Range: 20 Ohm
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Resistance (ohm)
14.1118,1.58669
14.2631,1.586691
14.4121,1.586714
14.577,1.586697
14.721,1.586668
14.8659,1.58675
15.0091,1.586767
15.1674,1.586768
15.3055,1.586772
15.4411,1.58679
15.5742,1.58675
15.7249,1.586813
15.8569,1.586807
15.9866,1.586831
16.1139,1.586846
16.2544,1.58684
16.3769,1.586867
16.4986,1.586877
16.6201,1.586897
16.7541,1.586907
16.8709,1.586923
16.9859,1.58691
17.0988,1.586914
17.2233,1.586873
17.3329,1.586946
17.4428,1.586972
17.5508,1.586978
17.6701,1.586989
17.7743,1.586912
17.8768,1.586976
17.9776,1.587021
18.089,1.587038
18.1875,1.587042
18.2862,1.587054
18.3833,1.586944
18.4906,1.586978
18.5846,1.587074
18.6773,1.58711
18.7683,1.587116
18.8691,1.587102
18.9575,1.587126
19.0472,1.587126
19.1354,1.587129
19.2331,1.587144
19.3188,1.58716
19.4031,1.5871
19.4863,1.587183
19.5786,1.587186
19.6593,1.587183
19.7389,1.587198
19.8196,1.587212
19.9094,1.587247
