#Procedure: <__main__.IVProcedure>
#Parameters:
#	Maximum temperature: 15 K
#	Minimum temperature: 11 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 10
#	Amperage of heater: 0.75 A
#	Temperature ramp rate: 0.5 K/min
#	Resistance Range: 2000 Ohm
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Resistance (ohm)
11.228,205.3236
11.2497,205.3331
11.2712,205.339
11.2925,205.3532
11.3162,205.3581
11.337,205.3319
11.3578,205.3264
11.3785,205.3994
11.399,205.343
11.4219,205.3868
11.442,205.3649
11.4622,205.3471
11.4827,205.3732
11.503,205.3645
11.5257,205.358
11.5455,205.3462
11.5652,205.3738
11.5848,205.3604
11.6067,205.3636
11.6259,205.3065
11.6448,205.3523
11.6636,205.3801
11.6844,205.3665
11.7028,205.356
11.721,205.3465
11.7388,205.3444
11.7586,205.3156
11.776,205.3344
11.7932,205.3306
11.8101,205.3026
11.8289,205.3283
11.8454,205.323
11.8616,205.3605
11.8776,205.3612
11.8953,205.3473
11.9109,205.3649
11.9264,205.3646
11.9415,205.3555
11.9581,205.3509
11.9726,205.3685
11.9868,205.3473
12.0009,205.3533
12.0165,205.288
12.03,205.3066
12.0433,205.2907
12.0563,205.335
12.0692,205.341
12.0834,205.3053
12.0957,205.3274
12.1077,205.3311
12.1195,205.3031
12.1312,205.3219
12.1442,205.2957
12.1554,205.3165
12.1664,205.2929
12.1771,205.3054
12.1876,205.3367
12.1992,205.2747
12.2094,205.2696
12.2194,205.265
12.2291,205.253
12.2397,205.2885
12.2491,205.3014
12.2586,205.3057
12.2679,205.3249
12.2782,205.2742
12.287,205.3077
12.2956,205.3054
12.3052,205.3217
12.3134,205.3319
12.3217,205.2952
12.3297,205.313
12.3385,205.3124
12.3461,205.2945
12.3534,205.3172
12.3608,205.2827
12.3689,205.2986
12.376,205.3136
12.3828,205.3066
12.3894,205.2984
12.3969,205.2833
12.4035,205.2858
12.41,205.322
12.4162,205.304
12.4225,205.3337
12.4294,205.3209
12.4355,205.3007
12.4414,205.2884
12.4473,205.2896
12.453,205.2899
12.4593,205.3124
12.4649,205.2929
12.4705,205.2801
12.4761,205.2767
12.4822,205.3099
12.4876,205.3082
12.4927,205.2993
12.4981,205.2955
12.504,205.3016
12.5092,205.2913
12.5143,205.2873
