#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Current field: 0 T
#	Field Step: 0.1 T
#	Max Field: 1 T
#	Maximum temperature: 12 K
#	Min Field: -1 T
#	Minimum temperature: 8.6 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Sample name: 3168
#	Set current: 0.0001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
8.6117,6.47558554e-05,0.6475585540000001
8.6107,6.52231171e-05,0.6522311709999999
8.6098,6.77909447e-05,0.677909447
8.6089,6.17658579e-05,0.617658579
8.6079,6.41584888e-05,0.641584888
8.6071,6.33531004e-05,0.633531004
8.6062,6.76675802e-05,0.676675802
8.6053,6.84655261e-05,0.6846552610000001
8.6045,7.07512479e-05,0.7075124789999999
8.6037,6.94917727e-05,0.694917727
8.6029,7.28676042e-05,0.728676042
8.602,7.10006683e-05,0.7100066829999999
8.6015,6.87295295e-05,0.687295295
8.6007,7.05512077e-05,0.705512077
8.6,7.19694876e-05,0.7196948759999999
8.5994,6.93535848e-05,0.6935358479999999
8.5987,6.46015121e-05,0.646015121
8.5982,6.81716582e-05,0.6817165820000001
8.5976,6.56479805e-05,0.656479805
8.5971,6.69657882e-05,0.669657882
8.5966,6.78023542e-05,0.678023542
8.5962,6.7446527e-05,0.67446527
8.5958,6.75325169e-05,0.6753251690000001
8.5953,6.63391968e-05,0.663391968
8.595,6.71740528e-05,0.671740528
8.5947,6.36278508e-05,0.636278508
8.5946,6.59771342e-05,0.659771342
8.5943,6.29310814e-05,0.629310814
8.5942,6.47603021e-05,0.647603021
8.594,6.69399189e-05,0.669399189
8.5939,6.46821371e-05,0.646821371
8.5939,5.95766538e-05,0.595766538
8.5939,6.11909496e-05,0.6119094959999999
8.594,6.73890571e-05,0.6738905709999999
8.5941,6.24813001e-05,0.6248130009999999
8.5943,6.1279152e-05,0.6127915199999999
8.5946,6.29408177e-05,0.629408177
8.5949,6.30783047e-05,0.6307830469999999
8.5953,5.85826952e-05,0.585826952
8.5957,6.24982001e-05,0.624982001
8.5962,5.87776055e-05,0.587776055
8.5968,6.19094462e-05,0.619094462
8.5974,6.30645262e-05,0.6306452619999999
8.5981,5.75515328e-05,0.5755153279999999
8.5988,6.19252488e-05,0.619252488
