#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Field Step: 0.01 T
#	Magnet Ramp Rate: 0.1 A/s
#	Max Field: 0.5 T
#	Min Field: -0.5 T
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Sample name: 3168
#	Set Current: 0.0001 A
#	Set temperature: 8.6 K
#	Time per measurement: 0.1 s
#Data:
Resistance (ohm),Voltage (V),Magnetic Field (T)
0.293886139,2.93886139e-05,5e-05
0.25234153,2.5234153e-05,0.01001
0.251759368,2.51759368e-05,0.02002
0.30339252899999997,3.03392529e-05,0.03004
0.295848654,2.95848654e-05,0.04003
0.310149767,3.10149767e-05,0.05006
0.300743072,3.00743072e-05,0.06005
0.28371040399999997,2.83710404e-05,0.07003
0.31599130599999997,3.15991306e-05,0.08002
-0.5915388939999999,-5.91538894e-05,0.09003
0.428022471,4.28022471e-05,0.10005
0.5105512209999999,5.10551221e-05,0.11006
-0.0974266196,-9.74266196e-06,0.12006
0.0802486496,8.02486496e-06,0.13006
450.949267,0.0450949267,0.14003
0.7859600279999999,7.85960028e-05,0.15006
6.52107458,0.000652107458,0.16004
38.210352199999996,0.00382103522,0.17007
19.5571408,0.00195571408,0.18007
84.7128532,0.00847128532,0.19011
-65.9126027,-0.00659126027,0.20008
-111.96667599999999,-0.0111966676,0.21008
-161.555132,-0.0161555132,0.22007
-185.895064,-0.0185895064,0.23007
-249.429655,-0.0249429655,0.24004
-315.858029,-0.0315858029,0.25005
-104.221374,-0.0104221374,0.26008
-244.58671999999999,-0.024458672,0.27007
-374.289947,-0.0374289947,0.28004
-448.225627,-0.0448225627,0.29007
-325.78718200000003,-0.0325787182,0.30008
-241.07393299999998,-0.0241073933,0.31008
-285.282945,-0.0285282945,0.32005
-459.442458,-0.0459442458,0.33011
-658.4884840000001,-0.0658488484,0.34009
-713.989191,-0.0713989191,0.35011
-617.41644,-0.061741644,0.36007
-791.8327479999999,-0.0791832748,0.37011
-684.403583,-0.0684403583,0.38009
-351.547414,-0.0351547414,0.39008
-712.6314279999999,-0.0712631428,0.40007
-746.082903,-0.0746082903,0.41008
-575.3436979999999,-0.0575343698,0.42009
-167.812365,-0.0167812365,0.43009
-423.29328899999996,-0.0423293289,0.4401
-730.065968,-0.0730065968,0.45011
-948.409553,-0.0948409553,0.4601
-1032.76186,-0.103276186,0.47011
-902.2592729999999,-0.0902259273,0.48009
-902.698885,-0.0902698885,0.49011
-1013.02055,-0.101302055,0.50007
-948.67666,-0.094867666,0.49011
-842.167296,-0.0842167296,0.48009
-815.621495,-0.0815621495,0.47011
-796.261201,-0.0796261201,0.4601
-806.00373,-0.080600373,0.4501
-818.484801,-0.0818484801,0.4401
-797.690849,-0.0797690849,0.43008
-789.0373589999999,-0.0789037359,0.42009
-793.5550199999999,-0.079355502,0.41008
-795.810878,-0.0795810878,0.40008
-788.4996349999999,-0.0788499635,0.39008
-771.71026,-0.077171026,0.38009
-734.5913380000001,-0.0734591338,0.37011
-821.3661999999999,-0.08213662,0.36006
-883.163927,-0.0883163927,0.35011
-941.815693,-0.0941815693,0.3401
-988.99011,-0.098899011,0.33011
