#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Current field: -0.2 T
#	Field Step: 0.05 T
#	Max Field: 0.3 T
#	Maximum temperature: 10.5 K
#	Min Field: -0.3 T
#	Minimum temperature: 8.2 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 1
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Sample name: 3169
#	Set current: 0.0001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
8.2629,2.87283683e-05,0.287283683
8.2621,1.06468463e-05,0.106468463
8.2613,1.06750068e-05,0.10675006799999999
8.2606,1.17224757e-05,0.11722475699999998
8.2598,1.06196916e-05,0.10619691599999999
8.2589,1.0372277e-05,0.10372276999999999
8.2581,1.04532384e-05,0.104532384
8.2574,9.93176703e-06,0.0993176703
8.2566,1.05135822e-05,0.10513582199999999
8.2559,1.03209803e-05,0.10320980299999999
8.2551,1.00428959e-05,0.100428959
8.2544,1.04260792e-05,0.104260792
8.2536,1.08696062e-05,0.108696062
8.253,1.27382458e-05,0.127382458
8.2522,1.05784413e-05,0.105784413
8.2515,1.15454504e-05,0.11545450399999999
8.2508,1.08665829e-05,0.108665829
8.2502,1.09978186e-05,0.109978186
8.2495,1.17450749e-05,0.117450749
8.2488,1.08615424e-05,0.108615424
8.2481,1.05105431e-05,0.10510543099999999
8.2475,1.0954571e-05,0.10954571
8.2468,1.11190076e-05,0.111190076
8.2462,1.11004016e-05,0.111004016
8.2455,1.36901524e-05,0.136901524
8.2448,1.01781518e-05,0.101781518
8.2442,1.03687374e-05,0.103687374
8.2436,1.07569488e-05,0.10756948799999999
8.243,9.3695459e-06,0.093695459
8.2424,1.02133543e-05,0.102133543
8.2417,1.09249075e-05,0.10924907499999999
8.2411,1.01248501e-05,0.10124850099999999
8.2405,1.07393505e-05,0.107393505
8.24,1.02093363e-05,0.102093363
8.2395,9.7924614e-06,0.097924614
8.2389,1.05175923e-05,0.105175923
8.2382,9.25188183e-06,0.0925188183
8.2377,1.06050922e-05,0.106050922
8.2372,1.07670147e-05,0.107670147
8.2366,1.10249843e-05,0.11024984299999999
8.2361,1.0353157e-05,0.10353156999999999
