#Procedure: <__main__.IVProcedure>
#Parameters:
#	Current Step: 1e-05 A
#	Delay Time: 20 ms
#	Maximum Current: 0.001 A
#	Minimum Current: -0.001 A
#Data:
Current (A),Voltage (V),Resistance (ohm)
0.0,0.914942951,nan
1e-05,2.02407477,202407.47699999998
2e-05,2.05002494,102501.247
3.0000000000000004e-05,2.06470137,68823.37899999999
4e-05,2.07673466,51918.3665
5e-05,2.0869453,41738.905999999995
6.000000000000001e-05,2.09638238,34939.70633333333
7.000000000000001e-05,2.1048265,30068.95
8e-05,2.11307782,26413.472749999997
9e-05,2.12040537,23560.059666666664
0.0001,2.12737266,21273.726599999998
0.00011,2.13384193,19398.563
0.00012000000000000002,2.14090267,17840.85558333333
0.00013000000000000002,2.14741704,16518.592615384616
0.00014000000000000001,2.15415293,15386.80664285714
0.00015000000000000001,2.16080301,14405.353399999998
0.00016,2.16753309,13547.081812499999
0.00017,2.17386232,12787.425411764705
0.00018,2.17966746,12109.263666666666
0.00019,2.18590923,11504.785421052631
0.0002,2.19200479,10960.023949999999
0.00021,2.1981256,10467.264761904762
0.00022,2.20376409,10017.109499999999
0.00023,2.2098312,9607.961739130435
0.00024000000000000003,2.21610167,9233.756958333332
0.00025,2.22236279,8889.45116
0.00026000000000000003,2.22770468,8568.094923076922
0.00027,2.23358746,8272.546148148147
0.00028000000000000003,2.23887777,7995.9920357142855
0.00029,2.24486563,7740.915965517242
0.00030000000000000003,2.24981783,7499.392766666666
0.00031,2.25603427,7277.529903225805
0.00032,2.26178174,7068.067937499999
0.00033000000000000005,2.26693691,6869.5057878787875
0.00034,2.27211134,6682.680411764705
0.00035000000000000005,2.27782866,6508.081885714285
0.00036,2.28346551,6342.95975
0.00037000000000000005,2.28933804,6187.400108108108
0.00038,2.293995,6036.82894736842
0.00039000000000000005,2.29978552,5896.885948717948
0.0004,2.30562571,5764.064275
0.00041000000000000005,2.31106977,5636.755536585365
0.00042,2.31666194,5515.861761904762
0.00043000000000000004,2.32191272,5399.797023255813
0.00044,2.32726187,5289.231522727273
0.00045000000000000004,2.33256127,5183.469488888888
0.00046,2.33800242,5082.613956521739
0.00047000000000000004,2.34337455,4985.90329787234
0.00048000000000000007,2.34826264,4892.213833333333
0.0004900000000000001,2.35353751,4803.137775510204
0.0005,2.35888885,4717.7777
0.00051,2.36516032,4637.56925490196
0.0005200000000000001,2.37017056,4558.020307692307
0.0005300000000000001,2.37577496,4482.594264150943
0.00054,2.38062954,4408.573222222222
0.00055,2.38787136,4341.584290909091
0.0005600000000000001,2.39234225,4272.039732142856
0.0005700000000000001,2.39853971,4207.964403508771
0.00058,2.4048287,4146.2563793103445
0.00059,2.41042687,4085.469271186441
0.0006000000000000001,2.41661162,4027.6860333333325
0.0006100000000000001,2.42202452,3970.5319999999992
0.00062,2.42801855,3916.1589516129034
0.00063,2.43345813,3862.631952380952
0.00064,2.43903614,3810.9939687499996
0.0006500000000000001,2.44691403,3764.4831230769223
0.0006600000000000001,2.45337221,3717.2306212121207
0.00067,2.45856935,3669.506492537313
0.00068,2.46432735,3624.0108088235293
0.0006900000000000001,2.46958161,3579.1037826086954
0.0007000000000000001,2.47592954,3537.0421999999994
0.00071,2.47957338,3492.356873239437
0.00072,2.48861951,3456.4159861111107
0.0007300000000000001,2.49367291,3415.9902876712326
0.0007400000000000001,2.50009458,3378.5061891891887
0.00075,2.50477625,3339.7016666666664
0.00076,2.51223104,3305.5671578947367
0.0007700000000000001,2.51937777,3271.9191818181816
0.0007800000000000001,2.52416552,3236.1096410256405
0.00079,2.53191681,3204.957987341772
0.0008,2.53749055,3171.8631874999996
0.0008100000000000001,2.54578019,3142.938506172839
0.0008200000000000001,2.55204022,3112.2441707317066
0.0008300000000000001,2.56056829,3085.0220361445777
0.00084,2.5691796,3058.5471428571427
0.0008500000000000001,2.57547559,3029.9712823529408
0.0008600000000000001,2.58497279,3005.782313953488
0.0008700000000000001,2.59137812,2978.5955402298846
0.00088,2.60059497,2955.221556818182
0.0008900000000000001,2.60953348,2932.0600898876405
0.0009000000000000001,2.61468612,2905.2068
0.0009100000000000001,2.62749433,2887.3564065934065
0.00092,2.63738566,2866.723543478261
0.00093,2.64782688,2847.125677419355
0.0009400000000000001,2.65461427,2824.057734042553
0.0009500000000000001,2.66291771,2803.07127368421
0.0009600000000000001,2.67233109,2783.67821875
0.00097,2.68234757,2765.3067731958763
0.0009800000000000002,2.69798419,2753.045091836734
0.00099,2.70767574,2735.026
0.001,2.71716386,2717.1638599999997
0.00099,2.70489963,2732.2218484848486
0.00098,2.69760214,2752.655244897959
0.0009699999999999999,2.68377735,2766.7807731958765
0.0009599999999999999,2.6759585,2787.456770833334
0.0009499999999999999,2.66788481,2808.2998000000002
0.0009399999999999999,2.65555729,2825.060946808511
0.0009299999999999998,2.64688741,2846.1154946236566
0.0009199999999999998,2.63847471,2867.9072934782616
0.0009099999999999998,2.62807609,2887.995703296704
0.0008999999999999998,2.62051705,2911.685611111112
0.0008899999999999997,2.60952749,2932.0533595505626
0.0008799999999999997,2.59849916,2952.8399545454554
0.0008699999999999997,2.5926741,2980.085172413794
0.0008599999999999997,2.58720071,3008.372918604652
0.0008499999999999996,2.57959608,3034.81891764706
0.0008399999999999996,2.57208282,3062.0033571428585
0.0008299999999999996,2.56417269,3089.3646867469893
0.0008199999999999995,2.55781631,3119.2881829268313
0.0008099999999999995,2.55098697,3149.3666296296315
0.0007999999999999995,2.54309146,3178.864325000002
0.0007899999999999995,2.53749965,3212.0248734177235
0.0007799999999999994,2.52991055,3243.475064102566
0.0007699999999999994,2.52256446,3276.057740259743
0.0007599999999999994,2.51652084,3311.2116315789503
0.0007499999999999994,2.51005303,3346.737373333336
0.0007399999999999993,2.50370446,3383.384405405408
0.0007299999999999993,2.49691862,3420.4364657534284
0.0007199999999999993,2.49222296,3461.420777777781
0.0007099999999999993,2.48511228,3500.1581408450743
0.0006999999999999992,2.47819748,3540.2821142857183
0.0006899999999999992,2.47035092,3580.218724637685
0.0006799999999999992,2.46518231,3625.2681029411806
0.0006699999999999992,2.45819688,3668.9505671641837
0.0006599999999999991,2.45478688,3719.3740606060655
0.0006499999999999991,2.44682508,3764.3462769230823
0.0006399999999999991,2.44187287,3815.4263593750056
0.000629999999999999,2.43571383,3866.2124285714344
0.000619999999999999,2.42896922,3917.692290322587
0.000609999999999999,2.42330176,3972.6258360655806
0.000599999999999999,2.41663334,4027.7222333333407
0.0005899999999999989,2.41093936,4086.337898305092
