#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 16 K
#	Minimum temperature: 8 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Set current: 0.001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
8.1999,0.0200308368,20.0308368
8.5413,0.0200465699,20.046569899999998
8.7422,0.0200534134,20.0534134
8.9303,0.0200572377,20.0572377
9.0772,0.0200612267,20.0612267
9.2445,0.0200654905,20.065490500000003
9.4051,0.020068011,20.068011
9.5317,0.0200701202,20.070120199999998
9.6756,0.0200722308,20.0722308
9.812,0.0200745978,20.0745978
9.921,0.0200770396,20.0770396
10.0491,0.0200772987,20.0772987
10.1712,0.0200810518,20.081051799999997
10.2688,0.0200802944,20.0802944
10.3814,0.0200807718,20.0807718
10.4895,0.0200822273,20.0822273
10.5764,0.0200831693,20.083169299999998
10.678,0.0200835746,20.083574600000002
10.7782,0.0200845323,20.0845323
10.8591,0.0200854344,20.0854344
10.9533,0.0200860168,20.0860168
11.0445,0.0200877619,20.0877619
11.1184,0.0200882912,20.0882912
11.2047,0.0200892739,20.0892739
11.2884,0.0200918767,20.0918767
11.3565,0.0200916648,20.0916648
11.4362,0.0200933887,20.0933887
11.5158,0.0200926393,20.0926393
11.581,0.0200952551,20.0952551
11.6574,0.0200934527,20.0934527
11.7321,0.020092841,20.092841
11.793,0.0200937256,20.0937256
11.8645,0.0200932861,20.0932861
11.9344,0.0200950264,20.0950264
11.9915,0.020094734,20.094734
12.0587,0.0200955131,20.095513099999998
12.1246,0.0200962617,20.0962617
12.1784,0.0200958638,20.0958638
12.2418,0.0200973832,20.0973832
12.3057,0.0200974544,20.0974544
12.358,0.0200989054,20.0989054
12.4198,0.0200994328,20.0994328
12.4704,0.0200995115,20.0995115
12.5301,0.0200974758,20.0974758
12.5887,0.0200975008,20.097500800000002
12.6367,0.0200981495,20.098149499999998
12.6933,0.020102454,20.102453999999998
12.7489,0.0201002314,20.100231400000002
12.7945,0.0200997733,20.0997733
12.8484,0.0201020542,20.1020542
12.9013,0.0201018978,20.1018978
12.9448,0.0201004488,20.1004488
12.9961,0.0201021504,20.1021504
13.0466,0.0201010672,20.1010672
13.0892,0.0201011393,20.1011393
13.1396,0.0201019499,20.101949899999997
13.1892,0.0201027123,20.102712299999997
13.2298,0.0201028641,20.102864099999998
13.2779,0.02010294,20.10294
13.3252,0.0201031593,20.103159299999998
13.364,0.020104124,20.104124000000002
