#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 16 K
#	Minimum temperature: 8.66 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 0.5 K/min
#	Set current: 0.0001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
8.5821,6.01767671e-05,0.601767671
8.5829,6.28525032e-05,0.628525032
8.5834,6.09788301e-05,0.6097883009999999
8.5838,6.02093248e-05,0.602093248
8.5843,6.1608595e-05,0.61608595
8.5848,6.27913318e-05,0.6279133179999999
8.5855,5.85099453e-05,0.585099453
8.586,5.94569393e-05,0.594569393
8.5866,5.57726538e-05,0.5577265379999999
8.5873,5.97184287e-05,0.5971842869999999
8.5879,6.17432568e-05,0.617432568
8.5885,6.14351015e-05,0.614351015
8.5892,5.50975034e-05,0.550975034
8.59,6.73269608e-05,0.6732696079999999
8.5906,6.49508266e-05,0.649508266
8.5915,6.75918697e-05,0.675918697
8.5923,6.35837399e-05,0.6358373989999999
8.5932,7.25355005e-05,0.7253550049999999
8.594,7.12324791e-05,0.712324791
8.595,6.75832952e-05,0.675832952
8.596,7.08059498e-05,0.708059498
8.5968,6.38495296e-05,0.6384952959999999
8.5979,6.46705055e-05,0.646705055
8.5989,6.33037086e-05,0.6330370860000001
8.5998,6.54729631e-05,0.654729631
8.601,6.20869789e-05,0.620869789
8.6021,6.33838651e-05,0.633838651
8.6034,6.33418257e-05,0.6334182569999999
8.6044,6.55136951e-05,0.655136951
8.6057,6.19095685e-05,0.619095685
8.6071,6.61628005e-05,0.661628005
8.6081,6.84634034e-05,0.6846340339999999
8.6094,6.79739156e-05,0.679739156
8.6108,6.46671823e-05,0.646671823
8.6124,6.94486146e-05,0.694486146
8.6135,6.56752235e-05,0.6567522349999999
8.615,7.03496464e-05,0.703496464
8.6166,6.51320458e-05,0.6513204579999999
8.6178,6.66001074e-05,0.666001074
8.6194,6.42094913e-05,0.642094913
8.6211,6.77034919e-05,0.677034919
8.6227,7.14788954e-05,0.714788954
8.6241,6.98548453e-05,0.6985484529999999
8.626,6.97511472e-05,0.697511472
8.6278,6.89434469e-05,0.689434469
8.6293,7.66719651e-05,0.766719651
8.6311,7.41482914e-05,0.741482914
8.633,7.85527774e-05,0.785527774
8.6346,7.70237688e-05,0.770237688
8.6366,7.49700719e-05,0.749700719
8.6387,7.36190768e-05,0.7361907679999999
8.6408,6.89188062e-05,0.6891880619999999
8.6426,6.694426e-05,0.6694426
8.6447,6.56436523e-05,0.656436523
8.6469,6.88327158e-05,0.6883271579999999
8.6487,6.96642519e-05,0.6966425189999998
8.651,7.02713094e-05,0.7027130939999999
8.6532,6.53443378e-05,0.653443378
8.6552,6.77004569e-05,0.6770045690000001
8.6575,6.5765235e-05,0.65765235
8.6599,6.86616312e-05,0.686616312
8.6619,7.00791043e-05,0.700791043
8.6645,6.61812041e-05,0.6618120409999999
8.667,6.80284887e-05,0.680284887
8.6695,6.71596407e-05,0.6715964069999999
8.6717,6.51940469e-05,0.6519404689999999
8.6743,6.72178723e-05,0.672178723
8.6771,6.39547895e-05,0.6395478949999999
8.6793,6.46401928e-05,0.646401928
8.6822,6.38066458e-05,0.638066458
8.6849,6.19857883e-05,0.6198578829999999
8.6878,6.6769532e-05,0.66769532
8.6902,6.53893719e-05,0.653893719
8.693,6.41720392e-05,0.641720392
8.6961,6.9642192e-05,0.6964219199999999
8.6986,7.3267438e-05,0.73267438
8.7017,7.07216395e-05,0.7072163949999999
8.7047,6.66450308e-05,0.6664503079999999
8.7079,6.67604884e-05,0.667604884
8.7106,6.80226768e-05,0.680226768
8.7137,6.66630334e-05,0.666630334
8.717,6.78805674e-05,0.6788056739999999
8.7203,6.59111513e-05,0.6591115129999999
8.7231,6.49353081e-05,0.6493530809999999
8.7264,7.24864146e-05,0.7248641459999999
8.7299,7.16221925e-05,0.716221925
8.7333,7.07214625e-05,0.707214625
8.7362,6.59938368e-05,0.6599383679999999
8.7398,6.42000203e-05,0.642000203
8.7433,6.41351508e-05,0.6413515080000001
8.7469,7.11274839e-05,0.711274839
8.7499,7.39738957e-05,0.7397389569999999
8.7536,6.86553036e-05,0.686553036
8.7574,6.76285557e-05,0.6762855569999999
8.7605,7.02768391e-05,0.702768391
8.7643,6.95595537e-05,0.695595537
8.7681,7.06903945e-05,0.706903945
8.7719,7.2905958e-05,0.7290595799999999
8.7751,7.27785321e-05,0.7277853209999999
8.7791,6.5436511e-05,0.6543651100000001
8.7831,6.97039187e-05,0.697039187
8.7865,6.56075854e-05,0.6560758539999999
8.7906,6.32175716e-05,0.632175716
8.7946,6.83969818e-05,0.6839698179999999
8.7988,6.79271052e-05,0.6792710519999999
8.8022,6.30687307e-05,0.630687307
8.8064,6.45898957e-05,0.645898957
8.8106,6.45547957e-05,0.6455479569999999
8.8141,6.51446557e-05,0.651446557
8.8185,6.7907393e-05,0.6790739299999999
8.8228,6.69505835e-05,0.6695058349999999
8.8272,6.75285762e-05,0.6752857619999999
8.8308,6.5733349e-05,0.65733349
8.8353,6.31976033e-05,0.631976033
8.8397,6.27507577e-05,0.6275075769999999
8.8435,6.27825387e-05,0.6278253869999999
8.8479,6.59493797e-05,0.659493797
8.8525,6.9185513e-05,0.69185513
8.8564,6.97779882e-05,0.697779882
8.8609,6.96126463e-05,0.696126463
8.8656,6.82681871e-05,0.6826818709999999
8.8704,6.59728108e-05,0.6597281079999999
8.8743,6.59808566e-05,0.6598085659999999
8.879,6.93556727e-05,0.6935567269999999
8.8838,6.57971007e-05,0.6579710069999999
8.8878,6.80716581e-05,0.680716581
8.8925,6.72075355e-05,0.6720753549999999
8.8973,6.85545087e-05,0.685545087
8.9021,6.90917693e-05,0.6909176929999999
8.9063,6.54299089e-05,0.6542990889999999
8.9113,6.90015776e-05,0.690015776
8.9162,6.58389602e-05,0.658389602
8.9204,6.44811246e-05,0.6448112460000001
8.9254,6.83607267e-05,0.683607267
8.9304,6.92827796e-05,0.692827796
8.9354,6.94298173e-05,0.6942981730000001
8.9396,6.86874882e-05,0.6868748819999999
8.9447,6.54758751e-05,0.6547587509999999
8.9499,6.81557416e-05,0.681557416
8.955,6.55926403e-05,0.6559264029999999
8.9593,6.4402963e-05,0.6440296299999999
8.9645,6.66000794e-05,0.6660007939999999
8.9697,6.93597003e-05,0.6935970029999999
8.9749,6.84760347e-05,0.6847603469999999
8.9793,6.76841226e-05,0.676841226
8.9846,6.35625389e-05,0.6356253889999999
8.9898,6.54319906e-05,0.6543199059999999
8.9951,6.38302643e-05,0.638302643
8.9995,6.1710587e-05,0.61710587
9.0049,6.63701359e-05,0.6637013589999999
9.0103,6.77798627e-05,0.6777986269999999
9.0148,6.84861871e-05,0.684861871
9.0202,7.0011176e-05,0.70011176
9.0256,6.63267836e-05,0.663267836
9.031,6.89488231e-05,0.689488231
9.0356,6.82409901e-05,0.682409901
9.041,6.55549861e-05,0.6555498609999999
9.0465,6.92413676e-05,0.6924136759999999
9.0511,7.27454314e-05,0.7274543139999999
9.0565,7.02986915e-05,0.702986915
9.0621,7.0027245e-05,0.7002724499999999
9.0676,6.75663243e-05,0.675663243
9.0722,6.48224917e-05,0.648224917
9.0777,6.78041711e-05,0.678041711
9.0833,6.46599578e-05,0.646599578
9.0881,6.22768809e-05,0.622768809
9.0937,6.61500472e-05,0.661500472
9.0992,6.54321572e-05,0.654321572
9.1049,6.28781062e-05,0.628781062
9.1095,6.33476815e-05,0.633476815
9.1151,6.12843046e-05,0.612843046
9.1207,6.42501004e-05,0.642501004
9.1255,6.48159238e-05,0.6481592380000001
9.1312,6.35442794e-05,0.635442794
9.1369,6.39187125e-05,0.6391871250000001
9.1425,5.91669423e-05,0.591669423
9.1473,6.44539618e-05,0.6445396179999999
9.1531,6.39597761e-05,0.639597761
9.1588,6.60162928e-05,0.660162928
9.1646,6.49201477e-05,0.649201477
9.1693,6.44423253e-05,0.6444232529999999
9.1751,7.22344195e-05,0.722344195
9.1808,6.51739939e-05,0.6517399389999999
9.1865,6.44976824e-05,0.6449768239999999
9.1914,6.59049007e-05,0.659049007
9.1972,6.35764331e-05,0.635764331
9.2031,6.6961823e-05,0.66961823
9.2091,6.6398815e-05,0.66398815
9.2141,6.62126543e-05,0.662126543
9.2201,6.69332603e-05,0.669332603
9.2261,6.35991482e-05,0.635991482
9.2321,6.32621279e-05,0.632621279
9.237,6.07410635e-05,0.6074106349999999
9.243,6.18422377e-05,0.618422377
9.249,6.41655755e-05,0.6416557549999999
9.254,6.32049019e-05,0.6320490189999999
9.2601,5.77742594e-05,0.5777425939999999
9.2661,5.89341894e-05,0.5893418939999999
9.272,5.90783106e-05,0.590783106
9.277,5.66907058e-05,0.566907058
9.2831,5.96818496e-05,0.5968184959999999
9.2891,6.00778058e-05,0.600778058
9.2951,5.33611335e-05,0.533611335
9.3001,5.54538336e-05,0.554538336
9.306,6.15392061e-05,0.615392061
9.3121,6.11192131e-05,0.611192131
9.317,6.24131857e-05,0.624131857
9.3231,5.78781466e-05,0.578781466
9.3291,6.1256797e-05,0.61256797
9.3351,5.94445715e-05,0.594445715
9.3401,5.78100341e-05,0.578100341
9.3461,5.95460245e-05,0.5954602449999999
9.3521,6.34319637e-05,0.634319637
9.357,6.03604646e-05,0.603604646
9.3631,6.34682705e-05,0.634682705
9.3691,6.17701962e-05,0.6177019619999999
9.3741,6.23385341e-05,0.623385341
9.38,6.2266748e-05,0.6226674799999999
9.386,6.56896504e-05,0.656896504
9.391,5.9975091e-05,0.59975091
9.397,5.96367633e-05,0.596367633
9.403,6.29697534e-05,0.6296975340000001
9.4089,5.98413289e-05,0.598413289
9.414,5.84826418e-05,0.584826418
9.4199,5.79829954e-05,0.579829954
9.4258,5.94942045e-05,0.5949420449999999
9.4318,6.22408517e-05,0.6224085169999999
9.4366,6.40005765e-05,0.640005765
9.4427,6.36737145e-05,0.636737145
9.4486,6.64582777e-05,0.664582777
9.4546,6.51658009e-05,0.6516580089999999
9.4596,6.43461315e-05,0.6434613149999999
9.4654,6.43200831e-05,0.643200831
9.4714,6.41153166e-05,0.641153166
9.4772,6.49827581e-05,0.6498275809999999
9.4822,6.66260192e-05,0.666260192
9.4881,6.54626921e-05,0.654626921
9.494,6.31628972e-05,0.631628972
9.4989,6.39748225e-05,0.639748225
9.5047,6.53100288e-05,0.6531002880000001
9.5107,6.38703272e-05,0.638703272
9.5166,6.62379147e-05,0.6623791469999999
9.5215,6.32531111e-05,0.6325311109999999
9.5273,6.00969214e-05,0.600969214
9.5333,6.69094293e-05,0.669094293
9.5382,6.29493706e-05,0.629493706
9.544,6.38435644e-05,0.6384356439999999
9.5499,6.51166164e-05,0.651166164
9.5556,6.26839586e-05,0.626839586
9.5606,6.34010435e-05,0.634010435
9.5663,6.30263288e-05,0.630263288
9.5722,6.51071832e-05,0.651071832
9.5771,6.5444002e-05,0.6544400199999999
9.5829,6.46252376e-05,0.646252376
9.5887,6.4681659e-05,0.6468165899999999
9.5945,6.39259538e-05,0.6392595379999999
9.5993,6.50982322e-05,0.650982322
9.6051,6.23448696e-05,0.623448696
9.6109,6.58674385e-05,0.6586743849999999
9.6157,6.50722079e-05,0.6507220789999999
9.6215,6.4610779e-05,0.64610779
9.6273,6.62997012e-05,0.6629970119999999
9.6331,6.89269694e-05,0.6892696939999999
9.6379,6.82581413e-05,0.682581413
9.6437,7.00516589e-05,0.700516589
9.6493,6.66584277e-05,0.6665842769999999
9.6541,6.49894194e-05,0.6498941939999999
9.6599,6.85379352e-05,0.685379352
9.6657,6.62670983e-05,0.6626709829999999
9.6714,6.48180431e-05,0.6481804309999999
9.6762,6.70360855e-05,0.670360855
9.6819,6.68489192e-05,0.668489192
9.6876,6.47856647e-05,0.6478566469999999
9.6923,6.36210297e-05,0.6362102969999999
9.698,7.08183332e-05,0.708183332
9.7037,7.27524521e-05,0.727524521
9.7094,7.38442723e-05,0.738442723
9.7142,8.57861146e-05,0.857861146
9.7199,0.000116344813,1.16344813
9.7255,0.000201619538,2.0161953799999996
9.7303,0.000361722272,3.6172227199999996
9.7359,0.000544392879,5.44392879
9.7416,0.000731854984,7.318549839999999
9.7473,0.000873027303,8.73027303
9.752,0.00100329596,10.0329596
9.7577,0.00110091279,11.0091279
9.7633,0.00118723427,11.872342699999999
9.7681,0.00124846752,12.484675199999998
9.7736,0.00130196541,13.0196541
9.7792,0.00134685686,13.4685686
9.7848,0.00138375077,13.8375077
9.7895,0.00141721813,14.172181299999998
9.7951,0.00143995274,14.3995274
9.8007,0.00146445372,14.6445372
9.8055,0.0014841442,14.841441999999999
9.8111,0.00149966602,14.996660199999999
9.8167,0.0015128627,15.128627
9.8223,0.0015255575,15.255575
9.8269,0.00153675117,15.3675117
9.8324,0.00155035728,15.503572799999999
9.838,0.00156055316,15.605531599999999
9.8436,0.00156928963,15.6928963
9.8483,0.00157641552,15.7641552
9.8539,0.00158275037,15.8275037
9.8593,0.0015874958,15.874958
9.8649,0.00159291467,15.9291467
9.8695,0.00159824583,15.9824583
9.875,0.00160210029,16.0210029
9.8805,0.00160729649,16.0729649
9.8852,0.00161211735,16.1211735
9.8907,0.00161993129,16.1993129
9.8962,0.00161856702,16.185670199999997
9.9017,0.00162465792,16.2465792
9.9065,0.00162775627,16.277562699999997
9.9122,0.00163055602,16.3055602
9.9178,0.0016303601,16.303601
9.9225,0.0016349247,16.349247
9.9282,0.0016460922,16.460921999999997
9.9339,0.00164335561,16.433556099999997
9.9396,0.00164287558,16.4287558
9.9442,0.00164369494,16.4369494
9.9499,0.00164750394,16.4750394
9.9554,0.00164764625,16.4764625
9.9601,0.00165180279,16.5180279
9.9658,0.00165420527,16.5420527
9.9713,0.00165740118,16.574011799999997
9.9769,0.00166173135,16.617313499999998
9.9816,0.00166374482,16.637448199999998
9.987,0.00166543364,16.6543364
9.9927,0.00166597342,16.6597342
9.9973,0.00166186393,16.618639299999998
10.0029,0.00166874071,16.687407099999998
10.0085,0.00166597173,16.659717299999997
10.0131,0.00166495152,16.6495152
10.0186,0.00166850678,16.6850678
10.0241,0.00166771466,16.6771466
10.0297,0.00167068931,16.7068931
10.0343,0.00167181687,16.7181687
10.0398,0.0016717875,16.717875
10.0453,0.00166998494,16.699849399999998
10.0498,0.00167092318,16.7092318
10.0553,0.00167265404,16.7265404
10.0608,0.00167346979,16.7346979
10.0663,0.0016757807,16.757807
10.0708,0.00167857381,16.7857381
10.0764,0.00168122331,16.8122331
10.0818,0.00168126515,16.812651499999998
10.0863,0.00168029703,16.8029703
10.0919,0.00168012606,16.8012606
10.0973,0.00167939992,16.7939992
10.1018,0.00168240332,16.8240332
10.1072,0.00168228877,16.8228877
10.1127,0.00168349836,16.834983599999997
10.1181,0.00168248579,16.824857899999998
10.1226,0.00168445863,16.8445863
10.128,0.00168429771,16.8429771
10.1333,0.00168538762,16.8538762
10.1378,0.00168756534,16.875653399999997
10.1432,0.00169037695,16.9037695
10.1486,0.00169060153,16.9060153
10.154,0.00169128865,16.9128865
10.1585,0.00169235915,16.9235915
10.1639,0.00169366981,16.9366981
10.1692,0.00169781355,16.9781355
10.1738,0.00169475121,16.9475121
10.1791,0.00169660316,16.9660316
10.1845,0.00169673893,16.967389299999997
10.1898,0.00169498805,16.9498805
10.1943,0.00169687943,16.9687943
10.1996,0.00169743831,16.974383099999997
10.2049,0.00169804081,16.9804081
10.2103,0.00169827394,16.9827394
10.2148,0.00170031687,17.0031687
10.2202,0.00169871324,16.9871324
10.2255,0.00170015968,17.001596799999998
10.2308,0.00170154467,17.0154467
10.2352,0.00170053944,17.0053944
10.2405,0.00170067992,17.0067992
10.2459,0.00170038977,17.0038977
10.2503,0.00170035266,17.0035266
10.2556,0.00170587441,17.0587441
10.2609,0.0017066973,17.066972999999997
10.2653,0.00170254203,17.025420299999997
10.2706,0.00170411266,17.0411266
10.2759,0.00170392036,17.039203599999997
10.2812,0.00170500987,17.0500987
10.2856,0.00170633009,17.063300899999998
10.2909,0.0017081054,17.081053999999998
10.2962,0.00170451847,17.0451847
10.3005,0.00170264349,17.026434899999998
10.3058,0.00170456501,17.0456501
10.311,0.00170506686,17.050668599999998
10.3163,0.00170546906,17.0546906
10.3207,0.0017046168,17.046167999999998
10.326,0.00170487688,17.0487688
10.3312,0.0017049143,17.049142999999997
10.3355,0.00170639805,17.0639805
10.3408,0.00170320695,17.0320695
10.3461,0.00171001745,17.100174499999998
10.3513,0.00171160077,17.116007699999997
10.3557,0.00170681098,17.0681098
10.3609,0.00170614066,17.061406599999998
10.3662,0.0017085177,17.085176999999998
10.3715,0.00170651094,17.0651094
10.3759,0.00170650078,17.0650078
10.381,0.00170426364,17.0426364
10.3862,0.00170686777,17.0686777
10.3904,0.00170853226,17.0853226
10.3957,0.00170950741,17.095074099999998
10.4009,0.00170633313,17.063331299999998
10.4061,0.00170535126,17.053512599999998
10.4104,0.00170488632,17.0488632
10.4156,0.00170659294,17.065929399999998
10.4209,0.00170989787,17.0989787
10.4251,0.00170944157,17.0944157
10.4304,0.00170794746,17.079474599999998
10.4356,0.00170935447,17.0935447
10.4407,0.00171109736,17.1109736
10.4451,0.00170700615,17.070061499999998
10.4502,0.0017072787,17.072786999999998
10.4555,0.00171112894,17.1112894
10.4598,0.00171180771,17.1180771
10.465,0.00171082129,17.1082129
10.4703,0.00171084846,17.108484599999997
10.4753,0.00170927248,17.0927248
10.4797,0.00171073089,17.1073089
10.4848,0.00171115782,17.1115782
10.49,0.00171075332,17.1075332
10.4952,0.00170833233,17.0833233
10.4995,0.00170842365,17.0842365
10.5047,0.00171129612,17.112961199999997
10.5099,0.00171220972,17.1220972
10.5142,0.00171473581,17.147358099999998
10.5193,0.0017127849,17.127849
10.5245,0.00171357852,17.135785199999997
10.5296,0.00171534528,17.1534528
10.5339,0.00171745349,17.1745349
10.5391,0.00171651404,17.1651404
10.5443,0.00171438019,17.1438019
10.5486,0.0017135051,17.135050999999997
10.5537,0.0017140323,17.140323
10.5589,0.00171479294,17.1479294
10.564,0.00171516023,17.1516023
10.5683,0.00171585893,17.1585893
10.5735,0.00171261857,17.1261857
10.5786,0.00171336442,17.1336442
