#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 10 K
#	Minimum temperature: 8 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 1
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 0.5 K/min
#	Time per measurement: 0.1 s
#	Voltage Range: 0.2 V
#Data:
Temperature (K),Voltage (V)
7.9615,0.0554873
7.9614,0.055487
7.9613,0.0554906
7.9613,0.0554902
7.9612,0.0554901
7.9611,0.0554936
7.961,0.0554901
7.9609,0.0554895
7.9608,0.055491
7.9607,0.0554949
7.9606,0.0554978
7.9605,0.0554883
7.9605,0.0554898
7.9605,0.0554924
7.9604,0.0554962
7.9603,0.0554917
7.9602,0.0554933
7.9601,0.0554924
7.9601,0.0554954
7.96,0.0554959
7.9599,0.0554898
7.9598,0.0554906
7.9598,0.0554913
7.9598,0.0554927
7.9597,0.0554947
7.9595,0.0554938
7.9594,0.0554948
7.9594,0.0554931
7.9594,0.0554921
7.9594,0.0554896
7.9594,0.0554951
7.9593,0.0554934
7.9592,0.0554991
7.9592,0.055499
7.9591,0.0554958
7.959,0.0554964
7.959,0.0554974
7.959,0.0554978
7.9589,0.0554983
7.9588,0.0554969
7.9587,0.0554934
7.9587,0.0554923
7.9587,0.0554981
7.9587,0.0554907
7.9586,0.0554884
7.9586,0.0554962
7.9586,0.0554954
7.9586,0.0554942
7.9585,0.0554923
7.9585,0.055492
7.9585,0.0554938
7.9585,0.0555
7.9584,0.0554942
7.9584,0.0554951
7.9584,0.0554933
7.9584,0.0554896
7.9584,0.0554927
7.9584,0.0554899
7.9583,0.0554973
7.9583,0.0554953
7.9583,0.0554968
7.9583,0.0554961
7.9583,0.055499
7.9582,0.0554968
7.9583,0.0554978
7.9583,0.0554962
7.9584,0.0554958
7.9584,0.0554954
7.9584,0.0554975
7.9585,0.0554935
7.9585,0.0554943
7.9585,0.0554843
7.9585,0.0554981
7.9585,0.0554897
7.9586,0.0554946
7.9587,0.0554995
7.9586,0.055498
7.9586,0.0554966
7.9587,0.0555024
7.9588,0.0555
7.9588,0.0554993
7.9588,0.0555004
7.9588,0.0554862
7.959,0.0555011
7.959,0.0554997
7.959,0.0554925
7.959,0.0554911
7.9591,0.0554961
7.9592,0.0554997
7.9592,0.0554963
7.9592,0.0555001
7.9593,0.0554984
7.9594,0.0554986
7.9595,0.0554997
7.9596,0.055491
7.9596,0.0554955
7.9597,0.0554951
7.9598,0.0555017
7.9599,0.0554963
7.96,0.0554971
7.9601,0.0554941
7.9602,0.0555014
7.9604,0.0554983
7.9606,0.0554944
7.9606,0.0555004
7.9607,0.0555003
7.9608,0.055498
7.961,0.0555035
7.9611,0.0555004
7.9612,0.055499
7.9613,0.0555014
7.9614,0.055498
7.9617,0.0555007
7.9618,0.055499
7.9618,0.0555028
7.962,0.0554983
7.9622,0.0555016
7.9623,0.0554992
