#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 10 K
#	Minimum temperature: 8 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 1
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 0.5 K/min
#	Time per measurement: 0.1 s
#	Voltage Range: 0.2 V
#Data:
Temperature (K),Voltage (V)
7.952,0.0555174
7.952,0.0555171
7.9519,0.0555176
7.9519,0.0555176
7.9519,0.0555174
7.952,0.0555175
7.9519,0.0555173
7.9518,0.0555174
7.9517,0.0555174
7.9517,0.0555173
7.9517,0.0555173
7.9516,0.0555169
7.9516,0.0555174
7.9516,0.0555176
7.9516,0.0555177
7.9516,0.0555174
7.9516,0.0555175
7.9516,0.0555175
7.9516,0.0555176
7.9517,0.0555174
7.9516,0.0555175
7.9516,0.0555176
7.9517,0.0555178
7.9517,0.0555175
7.9516,0.0555173
7.9516,0.0555171
7.9516,0.0555176
7.9517,0.0555175
7.9517,0.0555176
7.9517,0.0555176
7.9517,0.0555176
7.9517,0.0555175
7.9517,0.0555177
7.9517,0.0555177
7.9517,0.0555177
7.9517,0.0555177
7.9518,0.0555174
7.9518,0.0555174
7.9518,0.0555172
7.9518,0.0555177
7.9518,0.0555179
7.9519,0.0555175
7.9519,0.0555183
7.9519,0.0555177
7.9519,0.0555174
7.9519,0.0555175
7.952,0.0555173
7.952,0.0555171
7.952,0.0555171
7.9521,0.0555173
7.9522,0.0555172
7.9523,0.0555173
7.9523,0.0555177
7.9523,0.0555178
7.9524,0.0555178
7.9524,0.0555178
7.9525,0.0555175
7.9526,0.0555175
7.9526,0.0555175
7.9527,0.0555174
7.9528,0.0555178
7.9529,0.0555177
7.9529,0.0555176
7.9529,0.055517
7.953,0.0555171
7.9531,0.0555177
7.9531,0.0555176
7.9532,0.0555173
7.9532,0.0555176
7.9533,0.0555172
7.9534,0.0555175
7.9535,0.0555171
7.9535,0.0555176
7.9535,0.0555175
7.9536,0.0555176
7.9537,0.0555179
7.9538,0.055518
7.9538,0.0555179
7.9539,0.0555179
7.954,0.055518
7.9541,0.0555174
7.9542,0.0555174
7.9543,0.0555174
7.9544,0.0555172
7.9546,0.0555173
7.9547,0.0555176
7.9547,0.0555178
7.9548,0.0555179
7.955,0.0555177
7.9551,0.0555179
7.9552,0.0555182
7.9553,0.0555181
7.9554,0.055518
7.9556,0.0555179
7.9557,0.055518
7.9558,0.0555185
7.9559,0.0555181
7.9561,0.0555182
7.9563,0.0555182
7.9564,0.0555181
7.9565,0.0555183
7.9566,0.055518
7.9568,0.055518
7.957,0.0555177
7.9571,0.0555179
7.9572,0.0555178
7.9573,0.0555181
7.9575,0.0555183
7.9577,0.0555181
7.9579,0.0555182
7.9581,0.0555183
7.9583,0.0555183
7.9585,0.0555184
7.9587,0.0555183
7.9588,0.0555184
7.959,0.0555186
7.9593,0.0555184
7.9595,0.0555186
7.9597,0.0555188
7.9599,0.0555188
7.9601,0.0555184
7.9604,0.0555183
7.9606,0.0555188
7.9608,0.0555185
7.961,0.0555182
7.9612,0.0555184
7.9615,0.0555187
7.9617,0.0555186
7.9619,0.0555187
7.9621,0.0555188
7.9624,0.0555183
7.9627,0.0555186
7.9631,0.0555186
7.9633,0.0555183
7.9635,0.0555188
7.9638,0.0555187
7.9641,0.0555188
7.9644,0.0555186
7.9647,0.0555188
7.965,0.055519
