#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 12 K
#	Minimum temperature: 10 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 1
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 0.5 K/min
#	Time per measurement: 0.1 s
#	Voltage Range: 0.2 V
#Data:
Temperature (K),Voltage (V)
9.9646,0.0545853
9.9648,0.0545859
9.9651,0.0545862
9.9653,0.0545858
9.9656,0.0545863
9.966,0.0545862
9.9662,0.0545861
9.9665,0.0545863
9.9668,0.0545862
9.9671,0.0545861
9.9673,0.0545855
9.9677,0.0545857
9.9681,0.0545856
9.9684,0.0545858
9.9687,0.0545854
9.9693,0.0545852
9.9696,0.0545847
9.9701,0.0545851
9.9705,0.0545853
9.9708,0.0545855
9.9712,0.0545856
9.9716,0.0545855
9.972,0.0545856
9.9725,0.0545858
9.973,0.0545857
9.9735,0.054586
9.9741,0.0545862
9.9745,0.0545861
9.975,0.0545856
9.9754,0.0545856
9.9759,0.0545858
9.9765,0.054586
9.9773,0.0545863
9.9777,0.0545866
9.9783,0.0545868
9.9788,0.0545868
9.9794,0.0545876
9.9801,0.0545874
9.9806,0.0545875
9.9812,0.0545871
9.9818,0.0545875
9.9827,0.0545875
9.9833,0.0545877
9.9839,0.0545872
9.9845,0.0545878
9.9851,0.0545875
9.9858,0.0545872
9.9864,0.0545874
9.9871,0.0545871
9.9878,0.0545867
9.9885,0.0545863
9.9892,0.0545865
9.9902,0.0545867
9.9909,0.0545867
9.9917,0.0545869
9.9924,0.0545866
9.9935,0.0545868
9.9943,0.0545865
9.995,0.0545866
9.9958,0.0545865
9.9966,0.0545865
9.9975,0.0545865
9.9982,0.0545863
9.999,0.0545864
9.9998,0.054586
10.0011,0.0545859
10.0018,0.0545857
10.0026,0.0545858
10.0034,0.0545858
10.0043,0.0545861
10.0051,0.0545863
10.0063,0.0545862
10.0072,0.0545862
10.0081,0.0545865
10.009,0.0545867
10.0098,0.0545867
10.0107,0.0545864
10.0116,0.0545863
10.0125,0.0545867
10.0139,0.0545867
10.0148,0.0545868
10.0157,0.0545871
10.0167,0.054587
10.0181,0.0545873
10.019,0.0545872
10.0199,0.0545871
10.0208,0.054587
10.0218,0.0545869
10.0228,0.0545871
10.0237,0.0545872
10.0247,0.0545877
10.0262,0.0545873
10.0271,0.0545876
10.0281,0.0545875
10.0291,0.0545871
10.0301,0.054587
10.0311,0.0545866
10.0321,0.0545865
10.0331,0.0545871
10.0341,0.0545868
10.0357,0.0545867
10.0368,0.0545867
10.0378,0.0545871
10.0389,0.0545868
10.0399,0.0545868
10.041,0.0545869
10.0421,0.0545869
10.0431,0.0545877
10.0442,0.0545878
10.0458,0.054588
10.0468,0.0545883
10.048,0.0545886
10.0491,0.0545883
10.0502,0.0545884
10.0512,0.0545877
10.0529,0.0545871
10.054,0.0545871
10.0552,0.0545873
10.0562,0.0545877
10.0579,0.054588
10.0591,0.0545881
10.0602,0.0545876
10.0613,0.0545883
10.0624,0.0545884
10.0636,0.0545886
10.0648,0.0545891
10.066,0.0545889
10.0671,0.0545895
10.0688,0.0545892
10.07,0.0545894
10.0712,0.0545897
10.0723,0.0545898
10.0735,0.0545897
10.0748,0.0545897
10.076,0.0545902
10.0772,0.0545902
10.079,0.0545903
10.0802,0.0545912
10.0814,0.0545909
10.0826,0.0545909
10.0838,0.0545909
10.085,0.0545906
10.0862,0.0545909
10.0874,0.0545917
10.0887,0.0545916
10.0905,0.0545914
10.0917,0.0545913
10.0929,0.0545916
10.0942,0.0545918
10.0954,0.0545915
10.0967,0.0545922
10.0985,0.0545921
10.0997,0.0545919
10.101,0.0545923
10.1023,0.0545923
10.1036,0.0545921
10.1049,0.0545919
10.1062,0.0545919
10.1075,0.054592
10.1087,0.0545916
10.1099,0.0545917
10.1111,0.0545921
10.1124,0.0545925
10.1137,0.0545926
10.1157,0.0545928
10.117,0.0545921
10.1183,0.054592
10.1196,0.0545922
10.1209,0.0545919
10.1228,0.0545917
10.1241,0.054593
10.1254,0.0545933
10.1268,0.0545933
10.1281,0.0545931
10.1294,0.0545933
10.1306,0.0545932
10.1327,0.0545933
10.134,0.0545932
10.1354,0.0545929
10.1367,0.0545934
10.138,0.0545938
10.1394,0.0545937
10.1415,0.0545942
10.1428,0.0545941
10.1441,0.0545939
10.1454,0.0545939
10.1474,0.0545944
10.1488,0.0545948
10.1501,0.0545948
10.1514,0.0545947
10.1528,0.0545951
10.1543,0.0545954
10.1556,0.0545955
10.157,0.0545955
10.1583,0.0545957
10.1604,0.0545957
10.1618,0.0545961
10.1631,0.0545964
10.1645,0.0545963
10.1658,0.0545959
10.1672,0.0545957
10.1686,0.0545956
10.17,0.0545961
10.1721,0.0545957
10.1735,0.0545954
10.1749,0.0545958
10.1762,0.0545957
10.1776,0.0545962
10.179,0.054596
10.1804,0.0545963
10.1818,0.0545967
10.1833,0.0545972
10.1853,0.0545968
10.1868,0.054597
10.1882,0.0545973
10.1896,0.0545974
10.191,0.0545974
10.1924,0.0545977
10.1938,0.0545975
10.1952,0.0545971
10.1967,0.0545969
10.1981,0.0545967
10.2003,0.054597
10.2017,0.0545967
10.2031,0.0545966
10.2045,0.0545968
10.2059,0.0545968
10.2074,0.0545962
10.2095,0.0545965
10.2109,0.0545968
10.2123,0.0545968
10.2137,0.0545968
10.2151,0.0545969
10.2166,0.0545966
10.218,0.054597
10.2195,0.0545974
10.221,0.0545974
10.2225,0.0545974
10.224,0.0545972
10.2255,0.0545977
10.2269,0.0545979
10.2283,0.0545982
10.2297,0.0545983
10.2312,0.0545983
10.2327,0.0545982
10.2341,0.0545982
10.2363,0.0545985
10.2378,0.0545988
10.2393,0.0545992
10.2408,0.0545994
10.2423,0.0545995
10.2437,0.0545998
10.2451,0.0546004
10.2466,0.0546006
10.2481,0.0546007
10.2496,0.0546006
10.2511,0.0546004
10.2526,0.0546007
10.2541,0.0546008
10.2555,0.0546009
10.257,0.0546007
10.2584,0.0546007
10.2607,0.0546006
10.2622,0.0546007
10.2637,0.0546006
10.2652,0.0546006
10.2667,0.0546007
10.2682,0.0546004
10.2698,0.0545999
10.2712,0.0546007
10.2727,0.0546002
10.2749,0.0546005
10.2765,0.0546006
10.278,0.0546005
10.2795,0.0546004
10.281,0.0546003
10.2825,0.0546003
10.284,0.0546003
10.2855,0.0546011
10.287,0.0546008
10.2893,0.0546009
10.2908,0.0546011
10.2924,0.0546011
10.2939,0.0546011
10.2953,0.0546011
10.2968,0.0546013
10.2984,0.0546011
10.2999,0.054601
10.3014,0.0546013
10.3036,0.0546015
10.3052,0.0546012
10.3067,0.0546015
10.3083,0.0546017
10.3098,0.0546023
10.3112,0.0546022
10.3128,0.0546021
10.3144,0.054602
10.3159,0.054602
10.3181,0.0546019
10.3197,0.0546019
10.3212,0.0546023
10.3227,0.0546027
10.3242,0.0546027
10.3257,0.0546031
10.3279,0.0546027
10.3294,0.0546028
10.3309,0.0546027
10.3324,0.054603
10.3347,0.0546031
10.3362,0.0546036
10.3378,0.0546034
10.3393,0.0546035
10.3408,0.0546032
10.3423,0.0546027
10.3439,0.0546027
10.3447,0.0546029
10.347,0.0546035
10.3485,0.0546036
10.35,0.0546036
10.3516,0.0546038
10.3532,0.0546036
10.3548,0.0546035
10.3563,0.0546038
10.3579,0.0546039
10.3595,0.0546041
10.3618,0.0546041
10.3633,0.0546039
10.3649,0.0546039
10.3673,0.0546038
10.3689,0.054604
10.3705,0.0546042
10.372,0.0546041
10.3737,0.0546042
10.3752,0.0546042
10.3768,0.0546042
10.3784,0.0546044
10.38,0.0546045
10.3815,0.0546042
10.3831,0.0546042
10.3847,0.0546044
10.387,0.0546043
10.3885,0.0546044
10.3901,0.0546045
10.3917,0.0546039
10.3932,0.0546039
10.3948,0.0546036
10.3963,0.054602
10.3978,0.0546003
10.3992,0.0545992
10.4006,0.0545986
10.4023,0.0545986
10.4034,0.0545981
10.4045,0.0545981
10.4054,0.0545979
10.4064,0.0545997
