#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Field Step: 0.01 T
#	Magnet Ramp Rate: 0.1 A/s
#	Max Field: 0.5 T
#	Min Field: -0.5 T
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 2
#	Amperage of heater: 1.414 A
#	Set Current: 0.003 A
#	Set temperature: 8 K
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Magnetic Field (T)
nan,0.0788857493,0.0001
nan,0.146037965,0.00862
nan,0.14610489,0.01995
nan,0.145907615,0.02865
nan,0.146109267,0.03855
nan,0.146163603,0.04999
nan,0.146153761,0.05938
nan,0.146205154,0.06864
nan,0.146131953,0.07996
nan,0.146372829,0.08935
nan,0.146356308,0.09863
nan,0.146221619,0.10998
nan,0.146196246,0.11865
nan,0.146283727,0.12998
nan,0.146327628,0.13935
nan,0.146424604,0.14863
nan,0.14657869,0.15854
nan,0.146350372,0.16995
nan,0.146494717,0.17854
nan,0.14655501,0.19005
nan,0.146583798,0.19945
nan,0.146720519,0.20871
nan,0.146843623,0.22
nan,0.146900675,0.2294
nan,0.146765077,0.23866
nan,0.146717814,0.24997
nan,0.146731945,0.25942
nan,0.146891441,0.26864
nan,0.1468013,0.27856
nan,0.146787128,0.28997
nan,0.147101624,0.29936
nan,0.146945518,0.30863
nan,0.147256291,0.31996
nan,0.14728897,0.32933
nan,0.147303692,0.33862
nan,0.147407072,0.35001
nan,0.147675959,0.35945
nan,0.147641511,0.36862
nan,0.147829739,0.37998
nan,0.147898894,0.38999
nan,0.147900614,0.39866
nan,0.147883422,0.40855
nan,0.147807236,0.4186
nan,0.148249081,0.42861
nan,0.148665095,0.43867
nan,0.148680508,0.44868
nan,0.148683689,0.45871
nan,0.148892631,0.46874
nan,0.148763083,0.47862
nan,0.148616266,0.48863
nan,0.148520177,0.49936
nan,0.148613413,0.49157
nan,0.148726002,0.48024
nan,0.14862637,0.47085
nan,0.148680237,0.46157
nan,0.148608618,0.45159
nan,0.148556474,0.44157
nan,0.148608642,0.43152
nan,0.148570795,0.42165
nan,0.148442192,0.41026
nan,0.148553124,0.40077
nan,0.148448724,0.3916
nan,0.148424288,0.38164
nan,0.148519337,0.37079
nan,0.148430945,0.36079
nan,0.14856397,0.35169
nan,0.148310443,0.34165
nan,0.148226254,0.33082
nan,0.148170976,0.32162
nan,0.148228696,0.31174
nan,0.14822164,0.3009
nan,0.148041047,0.29174
nan,0.148235848,0.2817
nan,0.148138401,0.27017
nan,0.148114267,0.26073
nan,0.148167621,0.25171
nan,0.148126947,0.24167
nan,0.148297797,0.23076
nan,0.147921488,0.22162
nan,0.147908665,0.2116
nan,0.14790387,0.20088
nan,0.147654231,0.19176
nan,0.147580838,0.18171
nan,0.147441042,0.17017
nan,0.147160009,0.16064
nan,0.147365648,0.15015
nan,0.147537406,0.14066
nan,0.147448793,0.13172
nan,0.147208572,0.12171
nan,0.147232397,0.11077
nan,0.14713689,0.10165
nan,0.147098979,0.09161
nan,0.147039567,0.08072
nan,0.147074032,0.07154
nan,0.147034199,0.06173
nan,0.146919013,0.05087
nan,0.146863506,0.0417
nan,0.147120282,0.03164
nan,0.146939147,0.02078
nan,0.146592615,0.01164
nan,0.146546123,0.00171
nan,0.146675218,-0.00971
nan,0.146628761,-0.01824
nan,0.146610166,-0.02826
nan,0.146740423,-0.03915
nan,0.146775902,-0.04831
nan,0.146866164,-0.0583
nan,0.146770113,-0.06921
nan,0.146863721,-0.07832
nan,0.146764999,-0.08822
nan,0.146742711,-0.09907
nan,0.146888899,-0.10825
nan,0.146793631,-0.11918
nan,0.146743217,-0.12831
nan,0.146819398,-0.13835
nan,0.146871702,-0.14921
nan,0.146809586,-0.15824
nan,0.146968133,-0.16828
nan,0.146957295,-0.17921
nan,0.147064862,-0.18922
nan,0.147063243,-0.19831
nan,0.147272212,-0.20837
nan,0.147508094,-0.2192
nan,0.147397144,-0.22824
nan,0.147434478,-0.23819
nan,0.147597046,-0.2498
nan,0.147654401,-0.25923
nan,0.14776211,-0.26825
nan,0.147774627,-0.27832
nan,0.147717789,-0.28918
nan,0.147819434,-0.29835
nan,0.14778853,-0.30835
nan,0.147781713,-0.31913
nan,0.147787727,-0.32827
nan,0.147927637,-0.33828
nan,0.148045232,-0.34977
nan,0.147930774,-0.35916
nan,0.148036569,-0.36827
nan,0.148436284,-0.3781
nan,0.148276578,-0.38903
nan,0.148303367,-0.39913
nan,0.148482121,-0.40919
nan,0.148368144,-0.41921
nan,0.148640168,-0.42923
nan,0.148517307,-0.43912
nan,0.148593889,-0.4491
nan,0.1487186,-0.45915
nan,0.148709613,-0.46914
nan,0.14870615,-0.47912
nan,0.149150983,-0.48915
nan,0.149207219,-0.49917
nan,0.149170631,-0.49063
nan,0.148965435,-0.48057
nan,0.149131878,-0.4706
nan,0.149005229,-0.46077
nan,0.149116748,-0.45067
nan,0.148905096,-0.44141
nan,0.148927676,-0.43138
nan,0.148845761,-0.42137
nan,0.148858398,-0.41131
nan,0.148899709,-0.40131
nan,0.148979119,-0.39131
nan,0.148974831,-0.38139
nan,0.148717895,-0.37056
nan,0.148738803,-0.36145
nan,0.148649832,-0.35057
nan,0.14845582,-0.34143
nan,0.148537318,-0.33146
nan,0.148295807,-0.32057
nan,0.148324559,-0.31142
nan,0.148354166,-0.30143
nan,0.148232003,-0.29053
nan,0.148285757,-0.28155
nan,0.148304473,-0.27148
nan,0.148179784,-0.26063
nan,0.148176283,-0.25146
nan,0.14808136,-0.24143
nan,0.148096373,-0.23055
nan,0.148083312,-0.22049
nan,0.148009125,-0.21142
nan,0.147902545,-0.20136
nan,0.147891015,-0.19053
nan,0.147736173,-0.18134
nan,0.147812649,-0.17147
nan,0.147967323,-0.16147
nan,0.147662676,-0.15063
nan,0.14751758,-0.14152
nan,0.147682939,-0.13141
nan,0.147596079,-0.12056
nan,0.147426283,-0.11139
nan,0.147443763,-0.10141
nan,0.147162151,-0.0905
nan,0.147225741,-0.08136
nan,0.147222001,-0.07149
nan,0.147011516,-0.0606
nan,0.1468973,-0.05058
nan,0.146819332,-0.0406
nan,0.146872443,-0.02981
nan,0.146847919,-0.02047
nan,0.147000575,-0.01056
