#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 12 K
#	Minimum temperature: 8 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Set current: 0 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
7.9425,0.0,0.0
7.9426,0.0,0.0
7.9426,0.0,0.0
7.9426,0.0,0.0
7.9426,0.0,0.0
7.9426,0.0,0.0
7.9426,0.0,0.0
7.9426,0.0,0.0
7.9426,0.0,0.0
7.9426,0.0,0.0
7.9426,0.0,0.0
7.9427,0.0,0.0
7.9427,0.0,0.0
7.9427,0.0,0.0
7.9427,0.0,0.0
7.9426,0.0,0.0
7.9427,0.0,0.0
7.9427,0.0,0.0
7.9427,0.0,0.0
7.9427,0.0,0.0
7.9427,0.0,0.0
7.9427,0.0,0.0
7.9427,0.0,0.0
7.9427,0.0,0.0
7.9428,0.0,0.0
7.9428,0.0,0.0
7.9428,0.0,0.0
7.9428,0.0,0.0
7.9428,0.0,0.0
7.9428,0.0,0.0
7.9429,0.0,0.0
7.9429,0.0,0.0
7.943,0.0,0.0
7.943,0.0,0.0
7.943,0.0,0.0
7.943,0.0,0.0
7.943,0.0,0.0
7.9431,0.0,0.0
7.9431,0.0,0.0
7.9431,0.0,0.0
7.9432,0.0,0.0
7.9432,0.0,0.0
7.9432,0.0,0.0
7.9432,0.0,0.0
7.9432,0.0,0.0
7.9433,0.0,0.0
7.9434,0.0,0.0
7.9434,0.0,0.0
7.9435,0.0,0.0
7.9435,0.0,0.0
7.9435,0.0,0.0
7.9435,0.0,0.0
7.9436,0.0,0.0
7.9436,0.0,0.0
7.9437,0.0,0.0
7.9438,0.0,0.0
7.9438,0.0,0.0
7.9438,0.0,0.0
7.9438,0.0,0.0
7.944,0.0,0.0
7.9441,0.0,0.0
7.9442,0.0,0.0
7.9442,0.0,0.0
7.9442,0.0,0.0
7.9443,0.0,0.0
7.9443,0.0,0.0
7.9444,0.0,0.0
7.9445,0.0,0.0
7.9446,0.0,0.0
7.9447,0.0,0.0
7.9448,0.0,0.0
7.9448,0.0,0.0
7.9448,0.0,0.0
7.9449,0.0,0.0
7.9451,0.0,0.0
7.9451,0.0,0.0
7.9452,0.0,0.0
7.9453,0.0,0.0
7.9454,0.0,0.0
7.9454,0.0,0.0
7.9455,0.0,0.0
7.9456,0.0,0.0
7.9457,0.0,0.0
7.9458,0.0,0.0
7.946,0.0,0.0
7.946,0.0,0.0
7.9461,0.0,0.0
7.9463,0.0,0.0
7.9464,0.0,0.0
7.9466,0.0,0.0
7.9467,0.0,0.0
7.9468,0.0,0.0
7.9469,0.0,0.0
7.947,0.0,0.0
7.9471,0.0,0.0
7.9472,0.0,0.0
7.9473,0.0,0.0
7.9476,0.0,0.0
7.9477,0.0,0.0
7.9478,0.0,0.0
7.9479,0.0,0.0
7.948,0.0,0.0
7.9482,0.0,0.0
7.9484,0.0,0.0
7.9486,0.0,0.0
7.9487,0.0,0.0
7.9489,0.0,0.0
7.949,0.0,0.0
7.9491,0.0,0.0
7.9494,0.0,0.0
7.9496,0.0,0.0
7.9497,0.0,0.0
7.9499,0.0,0.0
7.95,0.0,0.0
7.9502,0.0,0.0
7.9504,0.0,0.0
7.9505,0.0,0.0
7.9508,0.0,0.0
7.951,0.0,0.0
7.9513,0.0,0.0
7.9515,0.0,0.0
7.9516,0.0,0.0
7.9519,0.0,0.0
7.9521,0.0,0.0
7.9524,0.0,0.0
7.9526,0.0,0.0
7.9527,0.0,0.0
7.953,0.0,0.0
7.9532,0.0,0.0
7.9535,0.0,0.0
7.9537,0.0,0.0
7.9539,0.0,0.0
7.9542,0.0,0.0
7.9544,0.0,0.0
7.9546,0.0,0.0
7.955,0.0,0.0
7.9551,0.0,0.0
7.9555,0.0,0.0
7.9557,0.0,0.0
7.9559,0.0,0.0
7.9563,0.0,0.0
7.9565,0.0,0.0
7.9569,0.0,0.0
7.9571,0.0,0.0
7.9573,0.0,0.0
7.9577,0.0,0.0
7.958,0.0,0.0
7.9584,0.0,0.0
7.9587,0.0,0.0
7.9589,0.0,0.0
7.9593,0.0,0.0
7.9596,0.0,0.0
7.9601,0.0,0.0
7.9603,0.0,0.0
7.9605,0.0,0.0
7.961,0.0,0.0
7.9612,0.0,0.0
7.9617,0.0,0.0
7.9619,0.0,0.0
7.9622,0.0,0.0
7.9627,0.0,0.0
7.963,0.0,0.0
7.9635,0.0,0.0
7.9637,0.0,0.0
7.964,0.0,0.0
7.9645,0.0,0.0
7.9648,0.0,0.0
7.9651,0.0,0.0
7.9657,0.0,0.0
7.966,0.0,0.0
7.9666,0.0,0.0
7.9669,0.0,0.0
7.9671,0.0,0.0
7.9677,0.0,0.0
7.968,0.0,0.0
7.9684,0.0,0.0
7.969,0.0,0.0
7.9693,0.0,0.0
7.9699,0.0,0.0
7.9702,0.0,0.0
7.9705,0.0,0.0
7.9711,0.0,0.0
7.9715,0.0,0.0
7.9722,0.0,0.0
7.9726,0.0,0.0
7.9729,0.0,0.0
7.9735,0.0,0.0
7.9739,0.0,0.0
7.9746,0.0,0.0
7.975,0.0,0.0
7.9753,0.0,0.0
7.9761,0.0,0.0
7.9764,0.0,0.0
7.9771,0.0,0.0
7.9775,0.0,0.0
7.9779,0.0,0.0
7.9787,0.0,0.0
7.9791,0.0,0.0
7.9799,0.0,0.0
7.9803,0.0,0.0
7.9807,0.0,0.0
7.9815,0.0,0.0
7.9819,0.0,0.0
7.9827,0.0,0.0
7.9831,0.0,0.0
7.9836,0.0,0.0
7.9844,0.0,0.0
7.9848,0.0,0.0
7.9856,0.0,0.0
7.9861,0.0,0.0
7.9865,0.0,0.0
7.9874,0.0,0.0
7.9879,0.0,0.0
7.9888,0.0,0.0
7.9892,0.0,0.0
7.9896,0.0,0.0
7.9905,0.0,0.0
7.991,0.0,0.0
7.992,0.0,0.0
7.9925,0.0,0.0
7.9929,0.0,0.0
7.9939,0.0,0.0
7.9944,0.0,0.0
7.9954,0.0,0.0
7.9959,0.0,0.0
7.9964,0.0,0.0
7.9975,0.0,0.0
7.998,0.0,0.0
7.999,0.0,0.0
7.9995,0.0,0.0
8.0,0.0,0.0
8.0011,0.0,0.0
8.0016,0.0,0.0
8.0027,0.0,0.0
8.0033,0.0,0.0
8.0038,0.0,0.0
8.0048,0.0,0.0
8.0054,0.0,0.0
8.0065,0.0,0.0
8.0071,0.0,0.0
8.0077,0.0,0.0
8.0088,0.0,0.0
8.0093,0.0,0.0
8.0104,0.0,0.0
8.011,0.0,0.0
8.0116,0.0,0.0
8.0129,0.0,0.0
8.0135,0.0,0.0
8.0147,0.0,0.0
8.0153,0.0,0.0
8.0158,0.0,0.0
8.017,0.0,0.0
8.0177,0.0,0.0
8.0189,0.0,0.0
8.0196,0.0,0.0
8.0209,0.0,0.0
8.0215,0.0,0.0
8.0222,0.0,0.0
8.0235,0.0,0.0
8.0242,0.0,0.0
8.0255,0.0,0.0
8.0262,0.0,0.0
8.0269,0.0,0.0
8.0282,0.0,0.0
8.0288,0.0,0.0
8.0302,0.0,0.0
8.0309,0.0,0.0
8.0316,0.0,0.0
8.033,0.0,0.0
8.0337,0.0,0.0
8.0351,0.0,0.0
8.0358,0.0,0.0
8.0364,0.0,0.0
8.0379,0.0,0.0
8.0386,0.0,0.0
8.0401,0.0,0.0
8.0409,0.0,0.0
8.0416,0.0,0.0
8.0431,0.0,0.0
8.0438,0.0,0.0
8.0454,0.0,0.0
8.0461,0.0,0.0
8.0469,0.0,0.0
8.0485,0.0,0.0
8.0492,0.0,0.0
8.0508,0.0,0.0
8.0515,0.0,0.0
8.0523,0.0,0.0
8.054,0.0,0.0
8.0548,0.0,0.0
8.0565,0.0,0.0
8.0573,0.0,0.0
8.0581,0.0,0.0
8.0597,0.0,0.0
8.0605,0.0,0.0
8.0614,0.0,0.0
8.0631,0.0,0.0
8.0639,0.0,0.0
8.0656,0.0,0.0
8.0664,0.0,0.0
8.0672,0.0,0.0
8.0689,0.0,0.0
8.0698,0.0,0.0
8.0716,0.0,0.0
8.0725,0.0,0.0
8.0733,0.0,0.0
8.0751,0.0,0.0
8.076,0.0,0.0
8.0777,0.0,0.0
8.0786,0.0,0.0
8.0796,0.0,0.0
8.0815,0.0,0.0
8.0824,0.0,0.0
8.0842,0.0,0.0
8.085,0.0,0.0
8.086,0.0,0.0
8.0879,0.0,0.0
8.0888,0.0,0.0
8.0907,0.0,0.0
8.0917,0.0,0.0
8.0926,0.0,0.0
8.0946,0.0,0.0
8.0955,0.0,0.0
8.0974,0.0,0.0
8.0984,0.0,0.0
8.0994,0.0,0.0
8.1014,0.0,0.0
8.1024,0.0,0.0
8.1043,0.0,0.0
8.1053,0.0,0.0
8.1063,0.0,0.0
8.1083,0.0,0.0
8.1094,0.0,0.0
8.1114,0.0,0.0
8.1125,0.0,0.0
8.1135,0.0,0.0
8.1155,0.0,0.0
8.1165,0.0,0.0
8.1186,0.0,0.0
8.1197,0.0,0.0
8.1208,0.0,0.0
8.1229,0.0,0.0
8.124,0.0,0.0
8.1261,0.0,0.0
8.1271,0.0,0.0
