#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 10 K
#	Minimum temperature: 8 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 0.5 K/min
#	Set current: 0 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
7.9166,1.14442e-05,0.000228884
7.9166,1.14442e-05,0.000228884
7.9165,1.14442e-05,0.000228884
7.9166,1.14442e-05,0.000228884
7.9166,1.14442e-05,0.000228884
7.9166,1.14442e-05,0.000228884
7.9166,1.14442e-05,0.000228884
7.9166,1.14442e-05,0.000228884
7.9166,1.14442e-05,0.000228884
7.9166,1.14442e-05,0.000228884
7.9166,1.14442e-05,0.000228884
7.9166,1.14442e-05,0.000228884
7.9167,1.14442e-05,0.000228884
7.9167,1.14442e-05,0.000228884
7.9167,1.14442e-05,0.000228884
7.9167,1.14442e-05,0.000228884
7.9167,1.14442e-05,0.000228884
7.9167,1.14442e-05,0.000228884
7.9167,1.14442e-05,0.000228884
7.9168,1.14442e-05,0.000228884
7.9168,1.14442e-05,0.000228884
7.9168,1.14442e-05,0.000228884
7.9168,1.14442e-05,0.000228884
7.9168,1.14442e-05,0.000228884
7.9169,1.14442e-05,0.000228884
7.9169,1.14442e-05,0.000228884
7.917,1.14442e-05,0.000228884
7.917,1.14442e-05,0.000228884
7.917,1.14442e-05,0.000228884
7.917,1.14442e-05,0.000228884
7.917,1.14442e-05,0.000228884
7.9171,1.14442e-05,0.000228884
7.9171,1.14442e-05,0.000228884
7.9172,1.14442e-05,0.000228884
7.9172,1.14442e-05,0.000228884
7.9171,1.14442e-05,0.000228884
7.9172,1.14442e-05,0.000228884
7.9172,1.14442e-05,0.000228884
7.9172,1.14442e-05,0.000228884
7.9173,1.14442e-05,0.000228884
7.9174,1.14442e-05,0.000228884
7.9174,1.14442e-05,0.000228884
7.9174,1.14442e-05,0.000228884
7.9174,1.14442e-05,0.000228884
7.9175,1.14442e-05,0.000228884
7.9175,1.14442e-05,0.000228884
7.9176,1.14442e-05,0.000228884
7.9176,1.14442e-05,0.000228884
7.9176,1.14442e-05,0.000228884
7.9176,1.14442e-05,0.000228884
7.9177,1.14442e-05,0.000228884
7.9177,1.14442e-05,0.000228884
7.9178,1.14442e-05,0.000228884
7.9179,1.14442e-05,0.000228884
7.9179,1.14442e-05,0.000228884
7.9179,1.14442e-05,0.000228884
7.9179,1.14442e-05,0.000228884
7.9179,1.14442e-05,0.000228884
7.918,1.14442e-05,0.000228884
7.918,1.14442e-05,0.000228884
7.9181,1.14442e-05,0.000228884
7.9181,1.14442e-05,0.000228884
7.9181,1.14442e-05,0.000228884
7.9181,1.14442e-05,0.000228884
7.9181,1.14442e-05,0.000228884
7.9182,1.14442e-05,0.000228884
7.9183,1.14442e-05,0.000228884
7.9183,1.14442e-05,0.000228884
7.9184,1.14442e-05,0.000228884
7.9184,1.14442e-05,0.000228884
7.9184,1.14442e-05,0.000228884
7.9184,1.14442e-05,0.000228884
7.9184,1.14442e-05,0.000228884
7.9185,1.14442e-05,0.000228884
7.9186,1.14442e-05,0.000228884
7.9186,1.14442e-05,0.000228884
7.9188,1.14442e-05,0.000228884
