#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 16 K
#	Minimum temperature: 8 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Set current: 0.001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
7.9577,0.0388050945,38.805094499999996
7.9567,0.0388047826,38.804782599999996
7.9561,0.0388061581,38.8061581
7.9552,0.0388042409,38.8042409
7.9544,0.038804723,38.804722999999996
7.9537,0.0388055983,38.8055983
7.9528,0.038806853,38.806853000000004
7.9521,0.0388054281,38.80542809999999
7.9514,0.0388052208,38.8052208
7.9508,0.0388028745,38.8028745
7.9502,0.0388047631,38.8047631
7.9498,0.0388058123,38.8058123
7.9493,0.038804875,38.804875
7.9488,0.0388040386,38.8040386
7.9484,0.038803401,38.803401
7.9479,0.038803462,38.803461999999996
7.9475,0.0388067042,38.8067042
7.9471,0.0388048758,38.8048758
7.947,0.0388043447,38.8043447
7.9467,0.0388054949,38.8054949
7.9465,0.0388049128,38.8049128
7.9464,0.0388057632,38.8057632
7.9463,0.0388051871,38.8051871
7.9464,0.0388066037,38.8066037
7.9463,0.0388069859,38.8069859
7.9465,0.0388062225,38.8062225
7.9465,0.0388066889,38.8066889
7.9467,0.0388056109,38.805610900000005
7.9469,0.0388051029,38.8051029
7.9471,0.0388044468,38.8044468
7.9474,0.0388042988,38.8042988
7.9476,0.0388049548,38.8049548
7.948,0.0388051944,38.8051944
7.9483,0.0388063566,38.8063566
7.949,0.0388065195,38.80651949999999
7.9496,0.0388070692,38.8070692
7.9501,0.0388073486,38.8073486
7.951,0.0388062679,38.806267899999995
7.9518,0.038803504,38.803504000000004
7.9526,0.0388058783,38.805878299999996
7.9536,0.0388056007,38.8056007
7.9547,0.0388062438,38.8062438
7.9557,0.03880557,38.805569999999996
7.9569,0.0388052841,38.805284099999994
7.9584,0.0388056135,38.8056135
7.9598,0.0388076676,38.807667599999995
7.9612,0.0388057967,38.805796699999995
7.9627,0.0388057412,38.8057412
7.9645,0.0388060983,38.8060983
7.966,0.0388039268,38.8039268
7.9678,0.0388064723,38.806472299999996
7.9699,0.0388055294,38.8055294
7.9717,0.038805968,38.805968
7.9741,0.0388080823,38.808082299999995
7.9762,0.0388054665,38.805466499999994
7.9783,0.038808539,38.808539
7.9808,0.0388060102,38.806010199999996
7.9835,0.0388084419,38.8084419
7.9859,0.0388078978,38.8078978
7.9887,0.0388089804,38.808980399999996
7.9917,0.0388085538,38.8085538
7.9941,0.0388077534,38.807753399999996
7.9974,0.0388078785,38.807878499999994
8.0008,0.0388090832,38.809083199999996
8.0038,0.0388063925,38.8063925
8.0074,0.0388081524,38.8081524
8.011,0.0388070707,38.807070700000004
