#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 16 K
#	Minimum temperature: 8 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Set current: 0.001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
7.9257,0.0224788755,22.478875499999997
7.9267,0.0224908112,22.4908112
7.9272,0.0224785426,22.4785426
7.928,0.0224858127,22.4858127
7.9287,0.022491074,22.491073999999998
7.9295,0.022486825,22.486825
7.9304,0.0224733822,22.4733822
7.9314,0.022475039,22.475039
7.9325,0.0225088366,22.5088366
7.9334,0.0224901926,22.4901926
7.9348,0.0224846538,22.4846538
7.9361,0.0225055175,22.5055175
7.9374,0.0224939179,22.4939179
7.9387,0.0225138992,22.5138992
7.9402,0.0225020156,22.5020156
7.9419,0.0225031592,22.5031592
7.9433,0.0225117997,22.5117997
7.9452,0.0225093976,22.5093976
7.947,0.0225036515,22.5036515
7.9488,0.022471562,22.471562
7.9507,0.0224906631,22.4906631
7.9529,0.0224795252,22.479525199999998
7.9548,0.0224962593,22.496259300000002
7.9571,0.0225103674,22.510367399999996
7.9596,0.0224764449,22.4764449
7.9617,0.0225115398,22.5115398
7.9643,0.0224967617,22.4967617
7.967,0.0224879812,22.4879812
7.9693,0.0225028953,22.5028953
7.9722,0.0224793916,22.4793916
7.9751,0.0225041342,22.5041342
7.9776,0.0225136482,22.5136482
7.9807,0.0225119049,22.5119049
7.9839,0.0225092998,22.5092998
7.9866,0.022505605,22.505605000000003
7.99,0.0225052654,22.5052654
7.9934,0.02252815,22.52815
7.9964,0.0225079303,22.507930299999998
8.0001,0.0224971496,22.497149599999997
8.0039,0.0225093358,22.5093358
8.0071,0.0225203089,22.5203089
8.011,0.0225167771,22.5167771
8.015,0.0225234466,22.5234466
8.0183,0.0225198565,22.5198565
8.0225,0.0225180456,22.5180456
8.0267,0.0225137273,22.5137273
8.0302,0.0225107626,22.5107626
8.0347,0.0225191129,22.5191129
